OrdenID,LineaID,ServicioID,Servicio,FamiliaServicio,Averia,HorasManoObra,PrecioHora,PiezasCoste
2000048,2,S007,Neumáticos,Ruedas,Ruedas,1.75,57.75,245.53
2000049,1,S007,Neumáticos,Ruedas,Ruedas,1.69,55.0,299.91
2000050,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.63,45.0,29.14
2000050,2,S005,Aire acondicionado,Climatización,Climatización,2.16,60.0,173.35
2000051,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.61,47.25,19.63
2000052,1,S003,Discos freno,Frenos,Frenos,1.62,55.0,74.97
2000053,1,S003,Discos freno,Frenos,Frenos,1.48,57.75,146.49
2000054,1,S004,Batería,Electricidad,Electricidad,0.3,52.5,134.85
2000055,1,S002,Pastillas freno,Frenos,Frenos,1.78,52.5,76.62
2000056,1,S006,ITV precheck,Inspección,Inspección,1.04,44.89,11.22
2000056,2,S007,Neumáticos,Ruedas,Ruedas,1.43,54.86,220.82
2000057,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.74,47.25,23.24
2000058,1,S004,Batería,Electricidad,Electricidad,0.89,50.0,159.57
2000058,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.83,60.0,43.25
2000059,1,S003,Discos freno,Frenos,Frenos,1.65,55.0,152.49
2000059,2,S002,Pastillas freno,Frenos,Frenos,1.07,47.5,67.17
2000060,1,S005,Aire acondicionado,Climatización,Climatización,2.0,57.0,108.53
2000060,2,S003,Discos freno,Frenos,Frenos,1.3,55.0,64.41
2000060,3,S007,Neumáticos,Ruedas,Ruedas,1.55,52.25,134.19
2000061,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.71,47.25,25.24
2000061,2,S005,Aire acondicionado,Climatización,Climatización,1.89,63.0,164.74
2000062,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.64,60.0,32.72
2000063,1,S004,Batería,Electricidad,Electricidad,0.69,52.5,80.17
2000063,2,S005,Aire acondicionado,Climatización,Climatización,2.03,63.0,167.76
2000064,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.17,63.0,5.53
2000065,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.13,63.0,39.89
2000066,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.11,63.0,55.9
2000067,1,S006,ITV precheck,Inspección,Inspección,1.67,42.75,5.25
2000067,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.87,57.0,51.14
2000068,1,S004,Batería,Electricidad,Electricidad,0.64,52.5,170.33
2000069,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.68,66.15,47.82
2000070,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.67,63.0,5.26
2000071,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.68,59.85,25.74
2000072,1,S006,ITV precheck,Inspección,Inspección,1.03,49.61,12.12
2000072,2,S007,Neumáticos,Ruedas,Ruedas,1.6,57.75,181.19
2000072,3,S005,Aire acondicionado,Climatización,Climatización,1.57,66.15,96.91
2000073,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.7,63.0,16.01
2000074,1,S004,Batería,Electricidad,Electricidad,0.74,47.5,173.5
2000075,1,S002,Pastillas freno,Frenos,Frenos,1.3,50.0,40.79
2000075,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.26,63.0,59.46
2000076,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.81,47.25,38.37
2000076,2,S006,ITV precheck,Inspección,Inspección,0.9,47.25,12.93
2000077,1,S002,Pastillas freno,Frenos,Frenos,1.01,47.5,47.71
2000077,2,S007,Neumáticos,Ruedas,Ruedas,1.46,55.0,301.1
2000078,1,S007,Neumáticos,Ruedas,Ruedas,1.63,60.64,135.35
2000079,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.1,57.0,17.54
2000080,1,S003,Discos freno,Frenos,Frenos,1.51,54.86,148.85
2000081,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.82,60.0,38.09
2000081,2,S002,Pastillas freno,Frenos,Frenos,1.47,52.5,73.49
2000082,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.78,42.75,33.64
2000082,2,S003,Discos freno,Frenos,Frenos,1.83,57.75,135.87
2000082,3,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.47,60.0,52.64
2000083,1,S005,Aire acondicionado,Climatización,Climatización,2.13,63.0,139.74
2000084,1,S002,Pastillas freno,Frenos,Frenos,1.08,55.12,33.78
2000085,1,S005,Aire acondicionado,Climatización,Climatización,1.84,63.0,116.1
2000086,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.63,42.75,37.77
2000086,2,S007,Neumáticos,Ruedas,Ruedas,1.87,57.75,153.69
2000087,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.23,57.0,26.5
2000088,1,S004,Batería,Electricidad,Electricidad,0.56,52.5,174.83
2000089,1,S002,Pastillas freno,Frenos,Frenos,1.22,52.5,45.21
2000089,2,S003,Discos freno,Frenos,Frenos,2.25,54.86,110.16
2000090,1,S004,Batería,Electricidad,Electricidad,0.73,50.0,88.72
2000091,1,S002,Pastillas freno,Frenos,Frenos,1.11,55.12,89.42
2000091,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,1.29,47.25,36.21
2000092,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.07,63.0,31.1
2000093,1,S004,Batería,Electricidad,Electricidad,0.5,52.5,115.8
2000093,2,S003,Discos freno,Frenos,Frenos,1.97,57.75,107.21
2000094,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.54,45.0,35.63
2000095,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.77,47.25,27.14
2000095,2,S006,ITV precheck,Inspección,Inspección,0.99,44.89,16.07
2000096,1,S004,Batería,Electricidad,Electricidad,0.86,52.5,125.19
2000097,1,S005,Aire acondicionado,Climatización,Climatización,1.73,66.15,160.15
2000097,2,S004,Batería,Electricidad,Electricidad,0.71,49.88,134.93
2000097,3,S001,Cambio aceite,Mantenimiento,Mantenimiento,1.13,44.89,36.3
2000098,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.99,42.75,38.84
2000099,1,S005,Aire acondicionado,Climatización,Climatización,1.61,59.85,111.5
2000100,1,S003,Discos freno,Frenos,Frenos,2.01,54.86,69.82
2000101,1,S005,Aire acondicionado,Climatización,Climatización,1.76,66.15,169.79
2000101,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.5,47.25,35.67
2000102,1,S005,Aire acondicionado,Climatización,Climatización,2.43,63.0,207.6
2000103,1,S005,Aire acondicionado,Climatización,Climatización,2.08,60.0,233.62
2000104,1,S005,Aire acondicionado,Climatización,Climatización,2.39,60.0,153.89
2000104,2,S006,ITV precheck,Inspección,Inspección,0.98,45.0,8.83
2000105,1,S002,Pastillas freno,Frenos,Frenos,1.06,55.12,42.28
2000106,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.59,47.25,34.01
2000106,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.02,63.0,14.6
2000107,1,S007,Neumáticos,Ruedas,Ruedas,1.77,57.75,165.46
2000107,2,S003,Discos freno,Frenos,Frenos,2.04,60.64,63.55
2000108,1,S004,Batería,Electricidad,Electricidad,0.59,50.0,115.86
2000109,1,S002,Pastillas freno,Frenos,Frenos,1.66,50.0,70.48
2000110,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.83,49.61,25.55
2000111,1,S003,Discos freno,Frenos,Frenos,1.64,55.0,96.41
2000111,2,S006,ITV precheck,Inspección,Inspección,0.85,42.75,3.77
2000112,1,S004,Batería,Electricidad,Electricidad,0.87,52.5,72.09
2000113,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.94,47.25,23.67
2000114,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.76,47.25,35.32
2000114,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.15,63.0,49.77
2000114,3,S006,ITV precheck,Inspección,Inspección,1.17,47.25,4.96
2000115,1,S005,Aire acondicionado,Climatización,Climatización,2.49,60.0,155.67
2000115,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.92,60.0,57.25
2000115,3,S003,Discos freno,Frenos,Frenos,1.95,57.75,120.23
2000116,1,S005,Aire acondicionado,Climatización,Climatización,1.51,57.0,231.43
2000117,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.78,60.0,9.84
2000118,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.09,63.0,53.51
2000118,2,S007,Neumáticos,Ruedas,Ruedas,1.41,57.75,238.01
2000119,1,S005,Aire acondicionado,Climatización,Climatización,1.79,60.0,163.74
2000120,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.3,47.25,30.26
2000121,1,S003,Discos freno,Frenos,Frenos,1.57,60.64,60.94
2000122,1,S006,ITV precheck,Inspección,Inspección,1.11,47.25,18.45
2000123,1,S005,Aire acondicionado,Climatización,Climatización,1.97,63.0,120.63
2000123,2,S006,ITV precheck,Inspección,Inspección,0.9,44.89,17.9
2000124,1,S006,ITV precheck,Inspección,Inspección,1.04,45.0,9.09
2000125,1,S005,Aire acondicionado,Climatización,Climatización,2.02,60.0,152.83
2000126,1,S002,Pastillas freno,Frenos,Frenos,0.7,50.0,37.36
2000126,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.87,45.0,37.36
2000126,3,S004,Batería,Electricidad,Electricidad,0.71,50.0,149.16
2000127,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.45,44.89,39.3
2000128,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.76,47.25,27.55
2000128,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.23,63.0,22.61
2000128,3,S002,Pastillas freno,Frenos,Frenos,1.05,52.5,45.17
2000129,1,S007,Neumáticos,Ruedas,Ruedas,1.49,55.0,225.29
2000129,2,S004,Batería,Electricidad,Electricidad,0.4,52.5,124.31
2000130,1,S004,Batería,Electricidad,Electricidad,0.88,49.88,163.53
2000130,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,1.31,47.25,15.32
2000131,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.82,45.0,19.08
2000132,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.63,42.75,26.12
2000132,2,S007,Neumáticos,Ruedas,Ruedas,1.72,55.0,193.24
2000132,3,S004,Batería,Electricidad,Electricidad,1.06,50.0,73.3
2000133,1,S006,ITV precheck,Inspección,Inspección,0.98,45.0,3.27
2000134,1,S005,Aire acondicionado,Climatización,Climatización,1.61,59.85,212.18
2000134,2,S006,ITV precheck,Inspección,Inspección,0.92,47.25,15.67
2000134,3,S003,Discos freno,Frenos,Frenos,2.05,60.64,74.23
2000135,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,1.0,45.0,27.44
2000135,2,S006,ITV precheck,Inspección,Inspección,0.58,47.25,0.93
2000136,1,S005,Aire acondicionado,Climatización,Climatización,1.79,66.15,144.5
2000136,2,S004,Batería,Electricidad,Electricidad,0.9,49.88,129.43
2000137,1,S003,Discos freno,Frenos,Frenos,1.28,57.75,134.91
2000138,1,S003,Discos freno,Frenos,Frenos,1.89,57.75,81.89
2000138,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.71,45.0,24.39
2000139,1,S004,Batería,Electricidad,Electricidad,1.02,52.5,108.64
2000140,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.74,49.61,28.37
2000141,1,S005,Aire acondicionado,Climatización,Climatización,1.92,59.85,107.1
2000142,1,S003,Discos freno,Frenos,Frenos,1.61,57.75,126.81
2000142,2,S004,Batería,Electricidad,Electricidad,0.39,55.12,128.12
2000143,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.45,44.89,39.14
2000143,2,S003,Discos freno,Frenos,Frenos,1.47,57.75,65.41
2000144,1,S007,Neumáticos,Ruedas,Ruedas,1.87,52.25,256.42
2000144,2,S002,Pastillas freno,Frenos,Frenos,1.12,50.0,35.36
2000145,1,S005,Aire acondicionado,Climatización,Climatización,2.2,60.0,88.39
2000146,1,S002,Pastillas freno,Frenos,Frenos,1.62,52.5,70.74
2000147,1,S003,Discos freno,Frenos,Frenos,1.67,57.75,109.81
2000147,2,S007,Neumáticos,Ruedas,Ruedas,1.61,57.75,306.2
2000148,1,S004,Batería,Electricidad,Electricidad,0.73,50.0,170.29
2000148,2,S006,ITV precheck,Inspección,Inspección,1.13,42.75,10.39
2000148,3,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.37,63.0,19.05
2000149,1,S002,Pastillas freno,Frenos,Frenos,1.48,50.0,57.64
2000149,2,S006,ITV precheck,Inspección,Inspección,0.76,42.75,9.81
2000149,3,S007,Neumáticos,Ruedas,Ruedas,1.79,57.75,348.4
2000150,1,S005,Aire acondicionado,Climatización,Climatización,1.82,60.0,95.31
2000151,1,S007,Neumáticos,Ruedas,Ruedas,1.19,57.75,348.43
2000152,1,S003,Discos freno,Frenos,Frenos,2.0,52.25,137.45
2000153,1,S002,Pastillas freno,Frenos,Frenos,1.47,52.5,37.8
2000154,1,S007,Neumáticos,Ruedas,Ruedas,1.33,55.0,138.48
2000154,2,S002,Pastillas freno,Frenos,Frenos,0.76,47.5,70.8
2000155,1,S005,Aire acondicionado,Climatización,Climatización,1.36,59.85,218.22
2000156,1,S004,Batería,Electricidad,Electricidad,1.19,50.0,81.67
2000156,2,S005,Aire acondicionado,Climatización,Climatización,1.94,60.0,111.08
2000157,1,S003,Discos freno,Frenos,Frenos,1.94,60.64,65.9
2000158,1,S007,Neumáticos,Ruedas,Ruedas,1.89,54.86,129.37
2000158,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.61,47.25,28.13
2000159,1,S003,Discos freno,Frenos,Frenos,1.35,55.0,72.19
2000160,1,S002,Pastillas freno,Frenos,Frenos,1.18,49.88,76.48
2000161,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.99,60.0,7.63
2000162,1,S005,Aire acondicionado,Climatización,Climatización,1.85,60.0,89.12
2000162,2,S004,Batería,Electricidad,Electricidad,0.77,47.5,162.97
2000163,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.58,45.0,31.44
2000164,1,S002,Pastillas freno,Frenos,Frenos,0.82,50.0,80.33
2000164,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.51,45.0,26.85
2000165,1,S005,Aire acondicionado,Climatización,Climatización,2.02,66.15,147.42
2000165,2,S003,Discos freno,Frenos,Frenos,1.76,57.75,122.22
2000166,1,S003,Discos freno,Frenos,Frenos,1.72,57.75,89.02
2000167,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.85,60.0,3.95
2000168,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.98,63.0,23.03
2000169,1,S004,Batería,Electricidad,Electricidad,0.55,49.88,100.7
2000170,1,S002,Pastillas freno,Frenos,Frenos,0.84,50.0,87.89
2000171,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.92,60.0,30.19
2000172,1,S007,Neumáticos,Ruedas,Ruedas,1.27,60.64,257.86
2000173,1,S002,Pastillas freno,Frenos,Frenos,0.94,49.88,31.82
2000174,1,S004,Batería,Electricidad,Electricidad,0.8,50.0,85.05
2000174,2,S003,Discos freno,Frenos,Frenos,2.12,55.0,93.93
2000174,3,S002,Pastillas freno,Frenos,Frenos,1.29,50.0,80.07
2000175,1,S002,Pastillas freno,Frenos,Frenos,1.46,52.5,64.43
2000176,1,S005,Aire acondicionado,Climatización,Climatización,1.78,63.0,169.14
2000176,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.16,59.85,16.24
2000177,1,S006,ITV precheck,Inspección,Inspección,1.0,44.89,4.16
2000177,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.96,63.0,6.6
2000178,1,S005,Aire acondicionado,Climatización,Climatización,1.83,63.0,134.93
2000179,1,S003,Discos freno,Frenos,Frenos,2.18,57.75,93.98
2000180,1,S002,Pastillas freno,Frenos,Frenos,0.88,50.0,78.39
2000180,2,S004,Batería,Electricidad,Electricidad,0.4,50.0,85.31
2000181,1,S002,Pastillas freno,Frenos,Frenos,1.64,50.0,52.14
2000182,1,S003,Discos freno,Frenos,Frenos,1.83,60.64,147.31
2000183,1,S006,ITV precheck,Inspección,Inspección,1.11,47.25,5.96
2000184,1,S004,Batería,Electricidad,Electricidad,0.69,52.5,83.7
2000185,1,S007,Neumáticos,Ruedas,Ruedas,1.98,57.75,125.45
2000185,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.72,42.75,24.66
2000186,1,S003,Discos freno,Frenos,Frenos,1.89,55.0,147.78
2000187,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.05,59.85,31.66
2000187,2,S006,ITV precheck,Inspección,Inspección,0.76,47.25,0.13
2000187,3,S004,Batería,Electricidad,Electricidad,1.0,52.5,122.54
2000188,1,S005,Aire acondicionado,Climatización,Climatización,1.53,60.0,183.21
2000189,1,S004,Batería,Electricidad,Electricidad,0.88,50.0,115.96
2000190,1,S005,Aire acondicionado,Climatización,Climatización,2.18,60.0,226.75
2000190,2,S007,Neumáticos,Ruedas,Ruedas,1.54,55.0,270.42
2000190,3,S006,ITV precheck,Inspección,Inspección,1.08,45.0,8.17
2000191,1,S002,Pastillas freno,Frenos,Frenos,1.31,50.0,56.19
2000192,1,S007,Neumáticos,Ruedas,Ruedas,1.18,55.0,184.02
2000192,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.99,60.0,35.36
2000193,1,S004,Batería,Electricidad,Electricidad,0.71,49.88,151.24
2000194,1,S004,Batería,Electricidad,Electricidad,0.61,47.5,159.89
2000194,2,S003,Discos freno,Frenos,Frenos,1.84,57.75,83.83
2000195,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.3,63.0,39.63
2000196,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.78,44.89,18.27
2000197,1,S006,ITV precheck,Inspección,Inspección,0.43,47.25,16.73
2000198,1,S004,Batería,Electricidad,Electricidad,0.51,52.5,148.35
2000198,2,S006,ITV precheck,Inspección,Inspección,0.92,44.89,0.33
2000199,1,S004,Batería,Electricidad,Electricidad,0.94,47.5,178.08
2000199,2,S007,Neumáticos,Ruedas,Ruedas,1.71,57.75,185.81
2000199,3,S005,Aire acondicionado,Climatización,Climatización,1.85,60.0,132.52
2000200,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.63,44.89,30.42
2000201,1,S006,ITV precheck,Inspección,Inspección,1.05,47.25,0.72
2000202,1,S003,Discos freno,Frenos,Frenos,1.3,60.64,158.45
2000203,1,S003,Discos freno,Frenos,Frenos,2.19,57.75,109.54
2000203,2,S005,Aire acondicionado,Climatización,Climatización,1.77,66.15,235.4
2000204,1,S007,Neumáticos,Ruedas,Ruedas,1.44,55.0,341.3
2000204,2,S003,Discos freno,Frenos,Frenos,1.51,55.0,150.44
2000205,1,S007,Neumáticos,Ruedas,Ruedas,1.37,57.75,124.85
2000205,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.99,63.0,25.15
2000206,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.83,42.75,36.54
2000206,2,S005,Aire acondicionado,Climatización,Climatización,2.38,60.0,179.38
2000207,1,S004,Batería,Electricidad,Electricidad,1.04,52.5,101.32
2000208,1,S006,ITV precheck,Inspección,Inspección,1.34,47.25,15.49
2000209,1,S005,Aire acondicionado,Climatización,Climatización,2.01,66.15,80.35
2000210,1,S006,ITV precheck,Inspección,Inspección,1.64,47.25,4.59
2000210,2,S005,Aire acondicionado,Climatización,Climatización,2.18,66.15,170.67
2000210,3,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.77,44.89,25.35
2000211,1,S003,Discos freno,Frenos,Frenos,1.91,52.25,99.02
2000212,1,S005,Aire acondicionado,Climatización,Climatización,1.74,66.15,171.57
2000212,2,S002,Pastillas freno,Frenos,Frenos,1.33,52.5,39.78
2000213,1,S003,Discos freno,Frenos,Frenos,2.01,52.25,101.57
2000214,1,S002,Pastillas freno,Frenos,Frenos,1.3,49.88,58.42
2000215,1,S005,Aire acondicionado,Climatización,Climatización,2.03,63.0,208.19
2000215,2,S003,Discos freno,Frenos,Frenos,1.81,54.86,133.36
2000216,1,S007,Neumáticos,Ruedas,Ruedas,1.64,57.75,309.7
2000217,1,S003,Discos freno,Frenos,Frenos,1.52,55.0,97.12
2000217,2,S005,Aire acondicionado,Climatización,Climatización,1.71,57.0,179.83
2000218,1,S005,Aire acondicionado,Climatización,Climatización,1.91,66.15,125.03
2000219,1,S003,Discos freno,Frenos,Frenos,2.08,57.75,88.27
2000219,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,1.07,47.25,25.27
2000220,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.52,47.25,34.0
2000221,1,S004,Batería,Electricidad,Electricidad,0.75,49.88,126.21
2000222,1,S006,ITV precheck,Inspección,Inspección,1.1,47.25,18.39
2000223,1,S007,Neumáticos,Ruedas,Ruedas,1.61,57.75,217.0
2000224,1,S003,Discos freno,Frenos,Frenos,1.55,54.86,69.16
2000225,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.75,47.25,21.3
2000226,1,S004,Batería,Electricidad,Electricidad,0.61,50.0,76.25
2000227,1,S002,Pastillas freno,Frenos,Frenos,1.32,50.0,57.9
2000228,1,S003,Discos freno,Frenos,Frenos,1.85,57.75,156.37
2000229,1,S002,Pastillas freno,Frenos,Frenos,1.13,50.0,31.8
2000230,1,S007,Neumáticos,Ruedas,Ruedas,1.9,55.0,262.3
2000231,1,S002,Pastillas freno,Frenos,Frenos,0.95,50.0,55.49
2000232,1,S005,Aire acondicionado,Climatización,Climatización,1.91,60.0,106.93
2000233,1,S002,Pastillas freno,Frenos,Frenos,1.19,52.5,45.37
2000233,2,S005,Aire acondicionado,Climatización,Climatización,2.25,66.15,127.73
2000234,1,S002,Pastillas freno,Frenos,Frenos,1.06,52.5,59.06
