ParteID,Fecha,PlantaID,TecnicoID,EquipoID,IncidenciaID,SeveridadID,AccionID,Horas,CosteHora,MaterialCoste,ParadaMin
20000068,2023-02-07,PL05,T005,E0091,I03,S3,A06,1.08,32,0.63,111
20000069,2023-02-07,PL03,T001,E0072,I04,S2,A05,1.0,60,14.55,0
20000070,2023-02-07,PL02,T002,E0029,I02,S2,A04,1.65,60,14.32,0
20000071,2023-02-07,PL01,T006,E0022,I05,S1,A04,1.51,32,106.48,0
20000072,2023-02-07,PL04,T003,E0083,I08,S1,A05,1.35,45,12.71,0
20000073,2023-02-07,PL03,T005,E0069,I08,S1,A01,0.99,32,80.91,0
20000074,2023-02-08,PL02,T003,E0025,I05,S1,A05,0.87,45,7.22,0
20000075,2023-02-08,PL04,T001,E0090,I06,S1,A05,1.46,60,0.21,0
20000076,2023-02-08,PL02,T003,E0035,I01,S3,A06,1.57,45,16.72,121
20000077,2023-02-08,PL04,T004,E0090,I05,S2,A03,1.98,45,5.35,0
20000078,2023-02-08,PL01,T005,E0003,I02,S1,A03,1.21,32,11.16,0
20000079,2023-02-08,PL01,T002,E0006,I02,S2,A04,1.42,60,146.47,0
20000080,2023-02-08,PL01,T001,E0023,I05,S1,A01,1.56,60,154.54,0
20000081,2023-02-08,PL05,T005,E0100,I05,S3,A06,1.96,32,34.65,0
20000082,2023-02-08,PL02,T005,E0034,I06,S1,A04,1.49,32,163.7,0
20000083,2023-02-08,PL03,T006,E0071,I05,S2,A06,1.97,32,33.41,0
20000084,2023-02-08,PL03,T001,E0053,I02,S1,A03,0.39,60,17.53,0
20000085,2023-02-09,PL05,T006,E0102,I06,S3,A04,0.44,32,239.12,103
20000086,2023-02-09,PL02,T004,E0047,I08,S1,A02,1.58,45,156.5,0
20000087,2023-02-09,PL05,T001,E0104,I06,S4,A01,3.24,60,365.88,118
20000088,2023-02-09,PL03,T006,E0071,I07,S2,A01,1.9,32,167.22,19
20000089,2023-02-09,PL04,T001,E0080,I04,S2,A05,1.54,60,17.79,54
20000090,2023-02-09,PL03,T005,E0063,I08,S2,A03,1.01,32,3.73,0
20000091,2023-02-09,PL04,T006,E0081,I06,S2,A02,1.78,32,178.13,39
20000092,2023-02-09,PL05,T006,E0105,I03,S1,A05,0.47,32,0.2,0
20000093,2023-02-09,PL05,T003,E0105,I01,S3,A05,1.59,45,20.18,81
20000094,2023-02-09,PL05,T003,E0093,I02,S1,A03,0.77,45,30.7,0
20000095,2023-02-10,PL02,T005,E0041,I07,S2,A03,1.53,32,14.8,0
20000096,2023-02-10,PL05,T006,E0091,I02,S2,A01,1.93,32,100.3,5
20000097,2023-02-10,PL03,T006,E0064,I02,S1,A06,0.86,32,16.01,0
20000098,2023-02-10,PL02,T001,E0034,I02,S1,A01,1.98,60,63.2,0
20000099,2023-02-10,PL05,T006,E0095,I07,S4,A01,0.89,32,328.43,120
20000100,2023-02-10,PL03,T002,E0064,I04,S1,A02,1.26,60,82.1,0
20000101,2023-02-10,PL05,T006,E0099,I04,S1,A04,0.76,32,21.23,0
20000102,2023-02-10,PL05,T002,E0101,I05,S1,A02,2.27,60,164.48,0
20000103,2023-02-10,PL03,T005,E0068,I01,S3,A02,2.38,32,226.64,59
20000104,2023-02-10,PL04,T001,E0081,I07,S2,A02,0.25,60,31.04,0
20000105,2023-02-10,PL02,T002,E0034,I06,S2,A04,1.71,60,92.15,0
20000106,2023-02-10,PL04,T002,E0090,I07,S3,A01,0.37,60,295.47,0
20000107,2023-02-10,PL04,T002,E0083,I05,S1,A02,0.84,60,31.55,0
20000108,2023-02-10,PL04,T003,E0083,I02,S1,A03,1.31,45,13.01,0
20000109,2023-02-10,PL01,T003,E0008,I03,S2,A06,1.37,45,28.46,37
20000110,2023-02-10,PL04,T003,E0089,I05,S1,A01,2.04,45,58.78,0
20000111,2023-02-11,PL01,T005,E0021,I03,S2,A05,2.11,32,11.01,0
20000112,2023-02-11,PL01,T001,E0013,I02,S3,A02,2.18,60,187.59,0
20000113,2023-02-11,PL01,T005,E0016,I05,S1,A01,0.25,32,79.21,0
20000114,2023-02-11,PL04,T002,E0076,I07,S1,A06,0.25,60,9.87,0
20000115,2023-02-11,PL01,T006,E0017,I08,S1,A05,0.28,32,29.97,0
20000116,2023-02-11,PL01,T002,E0014,I08,S2,A05,2.36,60,33.34,0
20000117,2023-02-11,PL03,T001,E0058,I07,S1,A04,0.25,60,89.93,0
20000118,2023-02-12,PL05,T004,E0094,I04,S4,A03,1.38,45,41.27,88
20000119,2023-02-12,PL05,T004,E0092,I04,S1,A06,0.67,45,25.03,0
20000120,2023-02-12,PL03,T006,E0061,I01,S1,A02,1.54,32,71.41,0
20000121,2023-02-12,PL04,T003,E0078,I08,S1,A01,0.69,45,83.7,0
20000122,2023-02-12,PL05,T004,E0105,I01,S4,A03,2.41,45,67.46,155
20000123,2023-02-12,PL02,T002,E0029,I03,S2,A01,1.46,60,127.12,26
20000124,2023-02-12,PL03,T006,E0062,I07,S1,A05,1.15,32,20.81,0
20000125,2023-02-12,PL03,T004,E0053,I06,S2,A02,0.25,45,105.01,0
20000126,2023-02-12,PL03,T004,E0056,I05,S1,A02,0.96,45,181.52,0
20000127,2023-02-12,PL03,T001,E0051,I04,S3,A04,2.89,60,196.12,162
20000128,2023-02-13,PL05,T005,E0092,I06,S4,A06,3.3,32,48.76,162
20000129,2023-02-13,PL02,T003,E0041,I02,S2,A02,1.02,45,141.41,0
20000130,2023-02-13,PL04,T003,E0079,I07,S4,A06,0.55,45,14.5,146
20000131,2023-02-13,PL02,T001,E0039,I04,S4,A03,3.99,60,7.86,115
20000132,2023-02-13,PL04,T002,E0087,I03,S3,A04,2.14,60,36.06,115
20000133,2023-02-13,PL03,T001,E0056,I03,S1,A02,1.67,60,155.69,0
20000134,2023-02-13,PL05,T003,E0105,I01,S1,A04,1.41,45,138.52,0
20000135,2023-02-13,PL05,T004,E0106,I05,S1,A04,0.6,45,125.25,0
20000136,2023-02-13,PL01,T001,E0007,I01,S3,A02,2.69,60,185.06,90
20000137,2023-02-13,PL02,T004,E0034,I04,S1,A06,1.14,45,23.08,0
20000138,2023-02-13,PL04,T003,E0087,I03,S2,A04,2.02,45,78.04,0
20000139,2023-02-13,PL04,T004,E0090,I07,S4,A06,0.44,45,26.76,161
20000140,2023-02-13,PL02,T006,E0030,I04,S2,A02,0.65,32,86.86,0
20000141,2023-02-13,PL01,T001,E0001,I08,S2,A03,0.99,60,38.5,0
20000142,2023-02-14,PL02,T004,E0028,I07,S2,A04,2.25,45,170.11,14
20000143,2023-02-14,PL02,T004,E0029,I05,S2,A04,0.33,45,153.73,17
20000144,2023-02-14,PL01,T004,E0006,I07,S3,A04,3.4,45,125.58,107
20000145,2023-02-14,PL04,T002,E0090,I06,S3,A02,0.95,60,255.06,96
20000146,2023-02-14,PL03,T002,E0067,I02,S1,A03,0.37,60,28.46,0
20000147,2023-02-14,PL05,T006,E0097,I05,S1,A01,1.07,32,120.02,0
20000148,2023-02-14,PL01,T005,E0013,I07,S1,A01,1.51,32,58.66,0
20000149,2023-02-14,PL03,T005,E0053,I02,S2,A05,0.41,32,7.98,0
20000150,2023-02-15,PL01,T006,E0001,I04,S4,A02,3.52,32,288.81,111
20000151,2023-02-15,PL02,T004,E0037,I03,S2,A01,2.06,45,103.09,15
20000152,2023-02-15,PL04,T004,E0074,I04,S1,A05,0.53,45,30.81,0
20000153,2023-02-15,PL01,T004,E0003,I06,S1,A03,2.33,45,26.63,0
20000154,2023-02-15,PL03,T002,E0049,I04,S3,A02,0.69,60,221.6,73
20000155,2023-02-15,PL02,T001,E0040,I07,S1,A06,0.98,60,7.94,0
20000156,2023-02-15,PL01,T001,E0011,I03,S2,A01,1.46,60,146.51,0
20000157,2023-02-15,PL04,T003,E0089,I08,S3,A06,3.14,45,17.59,129
20000158,2023-02-15,PL04,T004,E0077,I01,S2,A01,2.35,45,104.45,50
20000159,2023-02-15,PL04,T001,E0083,I01,S1,A03,1.28,60,0.22,0
20000160,2023-02-15,PL02,T003,E0031,I04,S2,A04,0.43,45,50.91,37
20000161,2023-02-16,PL03,T002,E0064,I04,S4,A04,2.1,60,132.22,204
20000162,2023-02-16,PL01,T005,E0005,I02,S4,A02,3.68,32,312.72,0
20000163,2023-02-16,PL03,T005,E0067,I01,S1,A04,1.7,32,186.31,0
20000164,2023-02-16,PL04,T005,E0086,I04,S3,A06,0.87,32,48.5,101
20000165,2023-02-16,PL03,T006,E0049,I06,S2,A03,1.25,32,10.71,0
20000166,2023-02-16,PL03,T003,E0071,I08,S2,A03,1.6,45,15.97,51
20000167,2023-02-16,PL04,T006,E0081,I01,S2,A05,1.3,32,35.15,0
20000168,2023-02-17,PL02,T003,E0032,I06,S1,A03,1.35,45,1.97,0
20000169,2023-02-17,PL01,T002,E0008,I07,S1,A05,1.57,60,12.77,0
20000170,2023-02-17,PL04,T001,E0085,I07,S1,A02,0.25,60,139.11,0
20000171,2023-02-17,PL01,T006,E0019,I08,S1,A06,0.57,32,19.48,0
20000172,2023-02-17,PL02,T004,E0032,I07,S4,A06,2.26,45,62.43,95
20000173,2023-02-17,PL03,T002,E0067,I02,S1,A03,0.51,60,1.04,0
20000174,2023-02-17,PL03,T003,E0066,I03,S3,A04,0.34,45,267.18,124
20000175,2023-02-17,PL04,T004,E0082,I06,S2,A01,1.17,45,23.47,0
20000176,2023-02-17,PL04,T006,E0087,I04,S1,A04,0.6,32,78.21,0
20000177,2023-02-17,PL02,T001,E0036,I04,S1,A01,2.08,60,142.41,0
20000178,2023-02-17,PL05,T005,E0104,I07,S1,A03,0.86,32,6.05,0
20000179,2023-02-17,PL02,T005,E0040,I07,S1,A04,1.6,32,171.0,0
20000180,2023-02-17,PL05,T006,E0104,I07,S1,A04,1.25,32,29.76,0
20000181,2023-02-17,PL04,T002,E0085,I05,S1,A03,1.47,60,9.02,0
20000182,2023-02-17,PL02,T001,E0029,I01,S2,A02,0.25,60,213.7,0
20000183,2023-02-17,PL02,T004,E0035,I01,S2,A02,1.28,45,25.56,0
20000184,2023-02-17,PL02,T004,E0030,I02,S1,A01,0.87,45,10.29,0
20000185,2023-02-18,PL04,T003,E0075,I01,S3,A05,2.54,45,50.57,0
20000186,2023-02-18,PL03,T003,E0068,I06,S2,A04,2.3,45,115.07,5
20000187,2023-02-18,PL05,T005,E0096,I02,S1,A04,1.24,32,75.92,0
20000188,2023-02-18,PL03,T006,E0062,I03,S1,A02,0.99,32,41.9,0
20000189,2023-02-18,PL01,T001,E0021,I05,S2,A01,0.41,60,18.9,0
20000190,2023-02-18,PL04,T006,E0077,I02,S1,A04,1.3,32,146.84,0
20000191,2023-02-18,PL03,T001,E0062,I05,S2,A06,2.11,60,10.93,0
20000192,2023-02-19,PL04,T004,E0086,I01,S3,A04,2.2,45,73.82,174
20000193,2023-02-19,PL01,T005,E0014,I02,S1,A01,0.6,32,64.29,0
20000194,2023-02-19,PL02,T004,E0032,I02,S2,A05,1.8,45,8.91,5
20000195,2023-02-19,PL03,T001,E0064,I02,S4,A06,2.32,60,60.96,132
20000196,2023-02-19,PL03,T002,E0051,I07,S2,A06,2.11,60,0.64,0
20000197,2023-02-19,PL04,T006,E0074,I03,S1,A02,1.36,32,100.26,0
20000198,2023-02-20,PL05,T006,E0100,I05,S3,A02,1.87,32,99.73,20
20000199,2023-02-20,PL04,T003,E0083,I05,S2,A03,0.54,45,1.39,27
20000200,2023-02-20,PL03,T002,E0065,I06,S1,A02,1.02,60,43.78,0
20000201,2023-02-20,PL01,T002,E0022,I03,S1,A05,0.96,60,5.39,0
20000202,2023-02-20,PL05,T004,E0091,I05,S1,A06,1.12,45,3.06,0
20000203,2023-02-20,PL01,T003,E0020,I01,S2,A06,1.37,45,24.97,26
20000204,2023-02-20,PL01,T006,E0020,I02,S1,A03,1.82,32,23.83,0
20000205,2023-02-20,PL01,T002,E0010,I07,S2,A03,0.98,60,28.86,5
20000206,2023-02-20,PL03,T006,E0054,I08,S1,A02,1.46,32,90.43,0
20000207,2023-02-20,PL03,T001,E0056,I01,S1,A01,1.08,60,175.41,0
20000208,2023-02-20,PL05,T004,E0097,I08,S1,A01,1.13,45,170.18,0
20000209,2023-02-20,PL03,T002,E0068,I03,S1,A03,1.02,60,3.62,0
20000210,2023-02-20,PL01,T006,E0009,I07,S3,A04,2.42,32,77.03,117
20000211,2023-02-20,PL02,T003,E0045,I07,S3,A06,1.67,45,0.21,125
20000212,2023-02-21,PL01,T004,E0023,I08,S1,A01,0.69,45,77.66,0
20000213,2023-02-21,PL01,T002,E0004,I05,S1,A01,1.79,60,60.95,0
20000214,2023-02-21,PL02,T001,E0027,I04,S1,A01,1.5,60,105.86,0
20000215,2023-02-21,PL01,T005,E0019,I01,S3,A03,2.22,32,15.64,107
20000216,2023-02-21,PL04,T002,E0083,I05,S3,A06,1.42,60,51.73,55
20000217,2023-02-21,PL01,T001,E0008,I06,S3,A06,0.85,60,49.85,91
20000218,2023-02-21,PL05,T005,E0107,I06,S4,A04,3.33,32,232.72,136
20000219,2023-02-21,PL02,T005,E0026,I03,S2,A03,1.42,32,3.22,0
20000220,2023-02-21,PL04,T001,E0087,I01,S1,A05,1.64,60,23.3,0
20000221,2023-02-21,PL04,T004,E0090,I01,S3,A04,2.82,45,46.58,126
20000222,2023-02-22,PL03,T002,E0068,I03,S3,A06,2.63,60,50.72,86
20000223,2023-02-22,PL01,T006,E0011,I08,S1,A03,0.25,32,1.31,0
20000224,2023-02-22,PL03,T001,E0056,I05,S2,A03,1.02,60,21.67,0
20000225,2023-02-22,PL05,T002,E0102,I04,S1,A06,1.17,60,11.42,0
20000226,2023-02-23,PL01,T001,E0019,I08,S1,A03,0.55,60,9.62,0
20000227,2023-02-23,PL01,T004,E0022,I05,S2,A06,0.83,45,4.75,33
20000228,2023-02-23,PL03,T003,E0062,I02,S2,A05,1.61,45,9.21,0
20000229,2023-02-23,PL04,T006,E0078,I03,S2,A05,0.72,32,15.86,38
20000230,2023-02-23,PL01,T003,E0008,I02,S2,A02,0.43,45,16.89,0
20000231,2023-02-23,PL05,T003,E0101,I05,S2,A01,0.73,45,138.69,0
20000232,2023-02-23,PL05,T006,E0096,I05,S3,A04,1.48,32,242.12,66
20000233,2023-02-23,PL01,T005,E0022,I01,S2,A03,0.37,32,32.45,11
20000234,2023-02-23,PL02,T001,E0026,I05,S3,A04,2.47,60,273.88,101
20000235,2023-02-23,PL02,T004,E0040,I04,S1,A04,1.41,45,121.37,0
20000236,2023-02-23,PL05,T002,E0103,I04,S1,A03,0.25,60,4.17,0
20000237,2023-02-23,PL01,T005,E0017,I01,S1,A01,1.24,32,126.64,0
20000238,2023-02-23,PL03,T001,E0072,I03,S2,A04,0.91,60,183.21,50
20000239,2023-02-23,PL03,T004,E0072,I08,S1,A04,0.25,45,46.74,0
20000240,2023-02-23,PL02,T005,E0045,I01,S2,A03,0.95,32,35.3,38
20000241,2023-02-23,PL03,T002,E0062,I05,S2,A01,0.29,60,158.87,0
20000242,2023-02-24,PL05,T001,E0108,I03,S4,A05,1.77,60,68.46,116
20000243,2023-02-24,PL02,T006,E0030,I06,S2,A01,0.73,32,82.79,91
20000244,2023-02-24,PL02,T002,E0048,I08,S1,A05,1.14,60,23.41,0
20000245,2023-02-24,PL04,T003,E0081,I01,S4,A04,2.56,45,229.32,122
20000246,2023-02-24,PL04,T005,E0081,I05,S2,A02,1.93,32,137.25,0
20000247,2023-02-24,PL01,T003,E0019,I06,S2,A04,0.27,45,87.05,24
20000248,2023-02-24,PL05,T006,E0100,I07,S4,A04,5.4,32,242.04,0
20000249,2023-02-24,PL04,T002,E0083,I07,S1,A04,1.67,60,151.91,0
20000250,2023-02-24,PL03,T006,E0063,I07,S1,A02,2.08,32,127.05,0
20000251,2023-02-24,PL04,T005,E0089,I06,S3,A01,1.41,32,230.91,135
20000252,2023-02-24,PL03,T006,E0069,I06,S1,A03,0.57,32,5.76,0
20000253,2023-02-25,PL01,T006,E0011,I08,S1,A06,0.55,32,1.36,0
20000254,2023-02-25,PL05,T006,E0104,I03,S3,A05,2.18,32,28.21,0
20000255,2023-02-25,PL05,T001,E0098,I07,S4,A04,1.19,60,58.54,104
20000256,2023-02-25,PL02,T005,E0046,I03,S2,A06,1.99,32,20.0,13
20000257,2023-02-25,PL05,T005,E0103,I05,S1,A05,0.59,32,19.99,0
20000258,2023-02-25,PL04,T001,E0079,I06,S2,A01,0.56,60,77.64,50
20000259,2023-02-25,PL05,T004,E0102,I07,S1,A01,1.0,45,47.72,0
20000260,2023-02-26,PL04,T001,E0075,I02,S2,A01,0.8,60,51.01,0
20000261,2023-02-26,PL02,T003,E0044,I08,S3,A02,2.61,45,272.09,116
20000262,2023-02-26,PL01,T002,E0008,I08,S2,A02,2.21,60,58.27,0
20000263,2023-02-27,PL05,T004,E0101,I01,S1,A06,2.33,45,17.55,0
20000264,2023-02-27,PL05,T006,E0099,I07,S4,A01,1.95,32,250.49,44
20000265,2023-02-27,PL05,T001,E0096,I08,S2,A05,1.91,60,6.25,0
20000266,2023-02-27,PL03,T006,E0054,I03,S3,A02,0.52,32,70.9,91
20000267,2023-02-27,PL05,T004,E0099,I03,S1,A03,2.35,45,11.66,0
20000268,2023-02-27,PL04,T001,E0077,I05,S2,A03,1.55,60,10.95,44
20000269,2023-02-27,PL05,T001,E0099,I04,S2,A06,0.88,60,12.26,55
20000270,2023-02-27,PL01,T003,E0019,I05,S1,A01,0.55,45,149.89,0
20000271,2023-02-27,PL05,T004,E0092,I06,S1,A02,1.6,45,91.11,0
20000272,2023-02-27,PL02,T001,E0041,I04,S1,A04,0.54,60,85.89,0
20000273,2023-02-27,PL03,T004,E0065,I08,S1,A05,0.65,45,21.52,0
20000274,2023-02-27,PL02,T002,E0038,I05,S1,A01,1.12,60,56.66,0
20000275,2023-02-27,PL05,T004,E0099,I04,S1,A03,0.73,45,7.77,0
20000276,2023-02-27,PL02,T003,E0039,I05,S2,A02,1.63,45,202.25,0
20000277,2023-02-28,PL02,T004,E0026,I03,S2,A02,1.64,45,144.33,19
20000278,2023-02-28,PL02,T004,E0039,I05,S3,A03,0.93,45,45.21,0
20000279,2023-02-28,PL05,T005,E0106,I08,S4,A01,3.44,32,208.99,118
20000280,2023-02-28,PL04,T002,E0077,I02,S2,A06,1.27,60,17.65,0
20000281,2023-02-28,PL04,T005,E0073,I08,S1,A02,0.25,32,25.69,0
20000282,2023-02-28,PL01,T001,E0013,I04,S2,A06,0.49,60,6.7,84
20000283,2023-02-28,PL01,T004,E0008,I08,S1,A04,0.64,45,9.44,0
20000284,2023-02-28,PL03,T003,E0049,I07,S3,A06,3.27,45,5.03,149
20000285,2023-02-28,PL02,T001,E0045,I08,S1,A06,1.48,60,1.53,0
20000286,2023-02-28,PL01,T004,E0024,I06,S2,A06,1.27,45,18.44,0
20000287,2023-03-01,PL02,T006,E0030,I06,S1,A06,1.3,32,12.8,0
20000288,2023-03-01,PL01,T003,E0010,I03,S3,A04,0.89,45,203.58,27
20000289,2023-03-01,PL01,T001,E0021,I01,S2,A03,3.01,60,0.73,0
20000290,2023-03-01,PL02,T001,E0028,I02,S4,A04,2.05,60,390.39,163
20000291,2023-03-01,PL04,T003,E0076,I03,S1,A06,1.29,45,28.28,0
20000292,2023-03-01,PL03,T006,E0062,I03,S1,A06,1.12,32,16.37,0
20000293,2023-03-01,PL04,T006,E0088,I03,S1,A01,1.26,32,46.46,0
20000294,2023-03-01,PL02,T001,E0040,I03,S2,A04,1.61,60,193.53,0
20000295,2023-03-01,PL03,T001,E0054,I08,S1,A04,1.45,60,127.41,0
20000296,2023-03-01,PL05,T001,E0099,I05,S1,A04,1.03,60,31.47,0
20000297,2023-03-01,PL02,T004,E0048,I07,S1,A04,0.65,45,21.87,0
20000298,2023-03-01,PL04,T006,E0084,I07,S1,A05,1.45,32,22.51,0
20000299,2023-03-01,PL02,T001,E0033,I08,S2,A03,2.18,60,6.38,0
20000300,2023-03-01,PL02,T005,E0027,I07,S3,A05,0.34,32,22.27,0
20000301,2023-03-01,PL05,T002,E0101,I07,S2,A01,2.13,60,80.98,0
20000302,2023-03-01,PL04,T005,E0077,I05,S2,A06,0.73,32,14.5,5
20000303,2023-03-02,PL03,T004,E0071,I06,S3,A03,0.84,45,39.86,0
20000304,2023-03-02,PL01,T005,E0024,I08,S2,A03,3.14,32,9.71,54
20000305,2023-03-02,PL05,T004,E0106,I02,S1,A01,0.89,45,138.38,0
20000306,2023-03-02,PL02,T006,E0035,I03,S1,A01,0.72,32,150.01,0
20000307,2023-03-02,PL04,T002,E0087,I07,S1,A06,1.79,60,28.8,0
20000308,2023-03-02,PL03,T002,E0052,I04,S2,A01,0.25,60,12.44,17
20000309,2023-03-02,PL03,T002,E0053,I07,S3,A05,2.21,60,53.62,172
20000310,2023-03-02,PL03,T005,E0055,I02,S1,A06,0.25,32,29.02,0
20000311,2023-03-02,PL02,T005,E0039,I06,S1,A05,0.5,32,33.44,0
20000312,2023-03-03,PL01,T002,E0024,I01,S1,A02,1.87,60,166.07,0
20000313,2023-03-03,PL03,T004,E0071,I02,S2,A04,1.15,45,160.82,0
20000314,2023-03-03,PL03,T002,E0050,I03,S1,A05,1.16,60,7.79,0
20000315,2023-03-03,PL03,T004,E0054,I07,S1,A03,1.16,45,28.26,0
20000316,2023-03-03,PL01,T006,E0001,I04,S1,A02,0.25,32,57.07,0
20000317,2023-03-03,PL02,T003,E0043,I01,S3,A01,3.02,45,184.11,86
20000318,2023-03-03,PL05,T002,E0092,I01,S1,A02,1.72,60,191.38,0
20000319,2023-03-03,PL02,T006,E0041,I08,S1,A04,0.64,32,139.65,0
20000320,2023-03-03,PL03,T003,E0056,I07,S1,A04,0.42,45,74.01,0
20000321,2023-03-03,PL05,T003,E0096,I08,S2,A01,1.59,45,173.0,0
20000322,2023-03-03,PL03,T002,E0068,I07,S2,A04,0.92,60,90.44,0
