OrdenID,FechaEntrada,FechaSalida,TallerID,TallerNombre,CiudadTaller,ClienteID,VehiculoID,MecanicoID,MecanicoNombre,GarantiaSiNo
2000047,2023-02-04,2023-02-05,T003,AutoZen Mar,Valencia,C0208,V00233,M006,Pablo,No
2000048,2023-02-05,2023-02-05,T004,AutoZen Triana,Sevilla,C0482,V00525,M005,Irene,No
2000049,2023-02-06,2023-02-06,T004,AutoZen Triana,Sevilla,C0057,V00064,M005,Irene,No
2000050,2023-02-06,2023-02-06,T003,AutoZen Mar,Valencia,C0711,V00781,M006,Pablo,No
2000051,2023-02-06,2023-02-06,T002,AutoZen Norte,Madrid,C0794,V00868,M004,Leo,No
2000052,2023-02-06,2023-02-07,T004,AutoZen Triana,Sevilla,C0230,V00257,M004,Leo,No
2000053,2023-02-06,2023-02-06,T002,AutoZen Norte,Madrid,C0690,V00756,M004,Leo,No
2000054,2023-02-06,2023-02-06,T001,AutoZen Atocha,Madrid,C0887,V00973,M001,Luis,No
2000055,2023-02-06,2023-02-06,T002,AutoZen Norte,Madrid,C0892,V00979,M005,Irene,No
2000056,2023-02-06,2023-02-06,T001,AutoZen Atocha,Madrid,C0607,V00668,M005,Irene,No
2000057,2023-02-07,2023-02-07,T001,AutoZen Atocha,Madrid,C0626,V00689,M006,Pablo,No
2000058,2023-02-07,2023-02-07,T003,AutoZen Mar,Valencia,C0648,V00712,M005,Irene,No
2000059,2023-02-07,2023-02-09,T003,AutoZen Mar,Valencia,C0189,V00211,M005,Irene,No
2000060,2023-02-07,2023-02-07,T004,AutoZen Triana,Sevilla,C0325,V00349,M001,Luis,No
2000061,2023-02-07,2023-02-07,T003,AutoZen Mar,Valencia,C0852,V00934,M005,Irene,No
2000062,2023-02-07,2023-02-08,T004,AutoZen Triana,Sevilla,C0446,V00485,M004,Leo,No
2000063,2023-02-07,2023-02-09,T001,AutoZen Atocha,Madrid,C0480,V00522,M004,Leo,No
2000064,2023-02-07,2023-02-07,T004,AutoZen Triana,Sevilla,C0369,V00398,M005,Irene,No
2000065,2023-02-08,2023-02-08,T001,AutoZen Atocha,Madrid,C0871,V00957,M004,Leo,No
2000066,2023-02-08,2023-02-09,T001,AutoZen Atocha,Madrid,C0363,V00393,M006,Pablo,No
2000067,2023-02-08,2023-02-08,T003,AutoZen Mar,Valencia,C0820,V00899,M006,Pablo,No
2000068,2023-02-08,2023-02-08,T001,AutoZen Atocha,Madrid,C0662,V00725,M006,Pablo,No
2000069,2023-02-08,2023-02-09,T001,AutoZen Atocha,Madrid,C0235,V00262,M004,Leo,No
2000070,2023-02-08,2023-02-08,T004,AutoZen Triana,Sevilla,C0401,V00435,M001,Luis,No
2000071,2023-02-08,2023-02-09,T002,AutoZen Norte,Madrid,C0547,V00600,M004,Leo,No
2000072,2023-02-08,2023-02-09,T002,AutoZen Norte,Madrid,C0794,V00868,M005,Irene,No
2000073,2023-02-09,2023-02-10,T002,AutoZen Norte,Madrid,C0183,V00203,M006,Pablo,Sí
2000074,2023-02-09,2023-02-09,T004,AutoZen Triana,Sevilla,C0499,V00544,M003,Nuria,No
2000075,2023-02-09,2023-02-09,T003,AutoZen Mar,Valencia,C0446,V00485,M006,Pablo,No
2000076,2023-02-09,2023-02-10,T003,AutoZen Mar,Valencia,C0493,V00540,M003,Nuria,No
2000077,2023-02-09,2023-02-10,T003,AutoZen Mar,Valencia,C0473,V00515,M002,Sara,No
2000078,2023-02-09,2023-02-09,T002,AutoZen Norte,Madrid,C0245,V00275,M006,Pablo,No
2000079,2023-02-09,2023-02-09,T004,AutoZen Triana,Sevilla,C0426,V00462,M002,Sara,No
2000080,2023-02-09,2023-02-10,T001,AutoZen Atocha,Madrid,C0265,V00295,M002,Sara,No
2000081,2023-02-10,2023-02-11,T004,AutoZen Triana,Sevilla,C0329,V00354,M006,Pablo,No
2000082,2023-02-10,2023-02-11,T004,AutoZen Triana,Sevilla,C0745,V00818,M002,Sara,No
2000083,2023-02-10,2023-02-10,T003,AutoZen Mar,Valencia,C0802,V00878,M002,Sara,No
2000084,2023-02-10,2023-02-11,T001,AutoZen Atocha,Madrid,C0181,V00200,M002,Sara,No
2000085,2023-02-10,2023-02-10,T001,AutoZen Atocha,Madrid,C0327,V00351,M004,Leo,No
2000086,2023-02-10,2023-02-10,T003,AutoZen Mar,Valencia,C0507,V00554,M001,Luis,No
2000087,2023-02-10,2023-02-10,T004,AutoZen Triana,Sevilla,C0787,V00861,M002,Sara,No
2000088,2023-02-10,2023-02-11,T003,AutoZen Mar,Valencia,C0210,V00235,M002,Sara,No
2000089,2023-02-10,2023-02-10,T002,AutoZen Norte,Madrid,C0035,V00042,M006,Pablo,No
2000090,2023-02-10,2023-02-11,T004,AutoZen Triana,Sevilla,C0491,V00536,M004,Leo,No
2000091,2023-02-10,2023-02-11,T002,AutoZen Norte,Madrid,C0886,V00971,M004,Leo,Sí
2000092,2023-02-11,2023-02-12,T004,AutoZen Triana,Sevilla,C0560,V00614,M004,Leo,No
2000093,2023-02-11,2023-02-13,T001,AutoZen Atocha,Madrid,C0481,V00524,M001,Luis,No
2000094,2023-02-11,2023-02-11,T003,AutoZen Mar,Valencia,C0648,V00712,M005,Irene,No
2000095,2023-02-11,2023-02-12,T002,AutoZen Norte,Madrid,C0366,V00396,M006,Pablo,No
2000096,2023-02-11,2023-02-11,T001,AutoZen Atocha,Madrid,C0186,V00208,M006,Pablo,No
2000097,2023-02-11,2023-02-12,T001,AutoZen Atocha,Madrid,C0739,V00812,M003,Nuria,No
2000098,2023-02-11,2023-02-12,T004,AutoZen Triana,Sevilla,C0526,V00577,M006,Pablo,No
2000099,2023-02-11,2023-02-12,T001,AutoZen Atocha,Madrid,C0761,V00835,M003,Nuria,No
2000100,2023-02-11,2023-02-12,T002,AutoZen Norte,Madrid,C0771,V00845,M004,Leo,No
2000101,2023-02-13,2023-02-13,T001,AutoZen Atocha,Madrid,C0020,V00025,M004,Leo,No
2000102,2023-02-13,2023-02-14,T002,AutoZen Norte,Madrid,C0698,V00764,M001,Luis,No
2000103,2023-02-13,2023-02-13,T004,AutoZen Triana,Sevilla,C0240,V00268,M003,Nuria,No
2000104,2023-02-13,2023-02-14,T004,AutoZen Triana,Sevilla,C0336,V00361,M005,Irene,Sí
2000105,2023-02-13,2023-02-13,T002,AutoZen Norte,Madrid,C0197,V00222,M004,Leo,No
2000106,2023-02-13,2023-02-13,T001,AutoZen Atocha,Madrid,C0276,V00304,M001,Luis,No
2000107,2023-02-13,2023-02-13,T001,AutoZen Atocha,Madrid,C0183,V00202,M004,Leo,No
2000108,2023-02-13,2023-02-14,T004,AutoZen Triana,Sevilla,C0262,V00290,M005,Irene,No
2000109,2023-02-13,2023-02-14,T004,AutoZen Triana,Sevilla,C0129,V00143,M003,Nuria,No
2000110,2023-02-13,2023-02-14,T001,AutoZen Atocha,Madrid,C0781,V00854,M001,Luis,Sí
2000111,2023-02-13,2023-02-14,T004,AutoZen Triana,Sevilla,C0550,V00604,M004,Leo,No
2000112,2023-02-13,2023-02-14,T004,AutoZen Triana,Sevilla,C0646,V00709,M003,Nuria,No
2000113,2023-02-13,2023-02-14,T003,AutoZen Mar,Valencia,C0810,V00888,M003,Nuria,No
2000114,2023-02-14,2023-02-15,T002,AutoZen Norte,Madrid,C0796,V00871,M004,Leo,No
2000115,2023-02-14,2023-02-15,T003,AutoZen Mar,Valencia,C0528,V00580,M002,Sara,No
2000116,2023-02-14,2023-02-14,T004,AutoZen Triana,Sevilla,C0130,V00144,M006,Pablo,No
2000117,2023-02-14,2023-02-14,T004,AutoZen Triana,Sevilla,C0836,V00917,M001,Luis,No
2000118,2023-02-14,2023-02-14,T002,AutoZen Norte,Madrid,C0323,V00347,M006,Pablo,No
2000119,2023-02-14,2023-02-14,T003,AutoZen Mar,Valencia,C0705,V00773,M003,Nuria,No
2000120,2023-02-14,2023-02-14,T002,AutoZen Norte,Madrid,C0893,V00980,M006,Pablo,No
2000121,2023-02-14,2023-02-15,T001,AutoZen Atocha,Madrid,C0563,V00618,M005,Irene,No
2000122,2023-02-14,2023-02-14,T002,AutoZen Norte,Madrid,C0276,V00304,M005,Irene,Sí
2000123,2023-02-14,2023-02-14,T002,AutoZen Norte,Madrid,C0427,V00463,M004,Leo,No
2000124,2023-02-14,2023-02-14,T004,AutoZen Triana,Sevilla,C0044,V00052,M001,Luis,No
2000125,2023-02-15,2023-02-15,T004,AutoZen Triana,Sevilla,C0454,V00493,M004,Leo,No
2000126,2023-02-15,2023-02-15,T003,AutoZen Mar,Valencia,C0534,V00586,M004,Leo,Sí
2000127,2023-02-15,2023-02-15,T001,AutoZen Atocha,Madrid,C0481,V00523,M006,Pablo,No
2000128,2023-02-15,2023-02-16,T001,AutoZen Atocha,Madrid,C0353,V00380,M004,Leo,No
2000129,2023-02-15,2023-02-15,T003,AutoZen Mar,Valencia,C0591,V00650,M005,Irene,Sí
2000130,2023-02-15,2023-02-15,T002,AutoZen Norte,Madrid,C0878,V00963,M003,Nuria,No
2000131,2023-02-15,2023-02-16,T003,AutoZen Mar,Valencia,C0166,V00185,M004,Leo,No
2000132,2023-02-15,2023-02-15,T003,AutoZen Mar,Valencia,C0806,V00884,M001,Luis,No
2000133,2023-02-15,2023-02-16,T003,AutoZen Mar,Valencia,C0132,V00148,M003,Nuria,Sí
2000134,2023-02-15,2023-02-17,T002,AutoZen Norte,Madrid,C0467,V00508,M006,Pablo,No
2000135,2023-02-15,2023-02-17,T004,AutoZen Triana,Sevilla,C0126,V00140,M005,Irene,No
2000136,2023-02-15,2023-02-15,T001,AutoZen Atocha,Madrid,C0510,V00558,M001,Luis,No
2000137,2023-02-15,2023-02-15,T001,AutoZen Atocha,Madrid,C0527,V00578,M006,Pablo,No
2000138,2023-02-15,2023-02-16,T004,AutoZen Triana,Sevilla,C0741,V00814,M001,Luis,No
2000139,2023-02-15,2023-02-15,T002,AutoZen Norte,Madrid,C0323,V00347,M005,Irene,No
2000140,2023-02-16,2023-02-16,T002,AutoZen Norte,Madrid,C0752,V00826,M001,Luis,No
2000141,2023-02-16,2023-02-17,T001,AutoZen Atocha,Madrid,C0282,V00309,M005,Irene,No
2000142,2023-02-16,2023-02-17,T002,AutoZen Norte,Madrid,C0190,V00213,M001,Luis,No
2000143,2023-02-16,2023-02-16,T001,AutoZen Atocha,Madrid,C0068,V00076,M003,Nuria,No
2000144,2023-02-16,2023-02-16,T004,AutoZen Triana,Sevilla,C0182,V00201,M003,Nuria,No
2000145,2023-02-16,2023-02-16,T003,AutoZen Mar,Valencia,C0373,V00404,M006,Pablo,No
2000146,2023-02-16,2023-02-18,T001,AutoZen Atocha,Madrid,C0738,V00811,M003,Nuria,No
2000147,2023-02-16,2023-02-16,T002,AutoZen Norte,Madrid,C0428,V00465,M006,Pablo,No
2000148,2023-02-16,2023-02-18,T004,AutoZen Triana,Sevilla,C0574,V00630,M003,Nuria,No
2000149,2023-02-17,2023-02-19,T003,AutoZen Mar,Valencia,C0250,V00279,M001,Luis,No
2000150,2023-02-17,2023-02-17,T003,AutoZen Mar,Valencia,C0875,V00960,M003,Nuria,No
2000151,2023-02-17,2023-02-17,T004,AutoZen Triana,Sevilla,C0852,V00934,M006,Pablo,No
2000152,2023-02-17,2023-02-18,T004,AutoZen Triana,Sevilla,C0278,V00306,M003,Nuria,No
2000153,2023-02-17,2023-02-17,T001,AutoZen Atocha,Madrid,C0523,V00574,M004,Leo,No
2000154,2023-02-17,2023-02-18,T004,AutoZen Triana,Sevilla,C0863,V00947,M001,Luis,No
2000155,2023-02-17,2023-02-19,T001,AutoZen Atocha,Madrid,C0825,V00903,M001,Luis,No
2000156,2023-02-17,2023-02-18,T004,AutoZen Triana,Sevilla,C0032,V00039,M005,Irene,No
2000157,2023-02-17,2023-02-17,T002,AutoZen Norte,Madrid,C0371,V00401,M004,Leo,No
2000158,2023-02-17,2023-02-17,T002,AutoZen Norte,Madrid,C0438,V00474,M001,Luis,No
2000159,2023-02-17,2023-02-19,T003,AutoZen Mar,Valencia,C0189,V00211,M002,Sara,No
2000160,2023-02-17,2023-02-17,T002,AutoZen Norte,Madrid,C0811,V00890,M001,Luis,No
2000161,2023-02-18,2023-02-19,T003,AutoZen Mar,Valencia,C0819,V00896,M004,Leo,No
2000162,2023-02-18,2023-02-18,T003,AutoZen Mar,Valencia,C0585,V00644,M001,Luis,Sí
2000163,2023-02-18,2023-02-19,T004,AutoZen Triana,Sevilla,C0308,V00333,M006,Pablo,No
2000164,2023-02-18,2023-02-19,T004,AutoZen Triana,Sevilla,C0751,V00825,M001,Luis,No
2000165,2023-02-18,2023-02-19,T001,AutoZen Atocha,Madrid,C0272,V00301,M006,Pablo,No
2000166,2023-02-19,2023-02-19,T001,AutoZen Atocha,Madrid,C0641,V00705,M005,Irene,No
2000167,2023-02-20,2023-02-20,T003,AutoZen Mar,Valencia,C0897,V00984,M003,Nuria,No
2000168,2023-02-20,2023-02-21,T002,AutoZen Norte,Madrid,C0454,V00493,M004,Leo,No
2000169,2023-02-20,2023-02-21,T002,AutoZen Norte,Madrid,C0452,V00491,M005,Irene,No
2000170,2023-02-20,2023-02-20,T004,AutoZen Triana,Sevilla,C0413,V00448,M002,Sara,No
2000171,2023-02-20,2023-02-21,T003,AutoZen Mar,Valencia,C0020,V00025,M002,Sara,No
2000172,2023-02-20,2023-02-20,T001,AutoZen Atocha,Madrid,C0582,V00640,M006,Pablo,No
2000173,2023-02-20,2023-02-20,T001,AutoZen Atocha,Madrid,C0501,V00546,M004,Leo,No
2000174,2023-02-20,2023-02-22,T003,AutoZen Mar,Valencia,C0013,V00016,M005,Irene,No
2000175,2023-02-20,2023-02-22,T002,AutoZen Norte,Madrid,C0276,V00304,M004,Leo,No
2000176,2023-02-20,2023-02-20,T002,AutoZen Norte,Madrid,C0111,V00121,M001,Luis,No
2000177,2023-02-21,2023-02-21,T001,AutoZen Atocha,Madrid,C0590,V00649,M001,Luis,Sí
2000178,2023-02-21,2023-02-22,T003,AutoZen Mar,Valencia,C0464,V00505,M001,Luis,No
2000179,2023-02-21,2023-02-21,T003,AutoZen Mar,Valencia,C0854,V00936,M004,Leo,No
2000180,2023-02-21,2023-02-21,T004,AutoZen Triana,Sevilla,C0209,V00234,M002,Sara,No
2000181,2023-02-21,2023-02-23,T003,AutoZen Mar,Valencia,C0016,V00019,M004,Leo,No
2000182,2023-02-21,2023-02-22,T002,AutoZen Norte,Madrid,C0574,V00630,M002,Sara,No
2000183,2023-02-21,2023-02-21,T002,AutoZen Norte,Madrid,C0561,V00616,M003,Nuria,No
2000184,2023-02-22,2023-02-23,T002,AutoZen Norte,Madrid,C0479,V00521,M006,Pablo,Sí
2000185,2023-02-22,2023-02-22,T003,AutoZen Mar,Valencia,C0549,V00603,M002,Sara,No
2000186,2023-02-22,2023-02-22,T003,AutoZen Mar,Valencia,C0815,V00894,M004,Leo,No
2000187,2023-02-22,2023-02-22,T001,AutoZen Atocha,Madrid,C0106,V00116,M005,Irene,No
2000188,2023-02-22,2023-02-22,T004,AutoZen Triana,Sevilla,C0459,V00500,M006,Pablo,No
2000189,2023-02-22,2023-02-22,T003,AutoZen Mar,Valencia,C0286,V00314,M005,Irene,No
2000190,2023-02-22,2023-02-22,T003,AutoZen Mar,Valencia,C0040,V00047,M006,Pablo,No
2000191,2023-02-22,2023-02-23,T003,AutoZen Mar,Valencia,C0672,V00736,M002,Sara,No
2000192,2023-02-22,2023-02-23,T004,AutoZen Triana,Sevilla,C0899,V00986,M002,Sara,No
2000193,2023-02-22,2023-02-22,T002,AutoZen Norte,Madrid,C0481,V00524,M006,Pablo,No
2000194,2023-02-22,2023-02-22,T003,AutoZen Mar,Valencia,C0731,V00804,M006,Pablo,No
2000195,2023-02-22,2023-02-22,T003,AutoZen Mar,Valencia,C0079,V00086,M001,Luis,No
2000196,2023-02-23,2023-02-23,T001,AutoZen Atocha,Madrid,C0859,V00942,M002,Sara,No
2000197,2023-02-23,2023-02-23,T004,AutoZen Triana,Sevilla,C0591,V00650,M003,Nuria,No
2000198,2023-02-23,2023-02-23,T002,AutoZen Norte,Madrid,C0130,V00145,M001,Luis,No
2000199,2023-02-23,2023-02-24,T004,AutoZen Triana,Sevilla,C0874,V00959,M002,Sara,No
2000200,2023-02-23,2023-02-23,T002,AutoZen Norte,Madrid,C0091,V00098,M001,Luis,No
2000201,2023-02-23,2023-02-23,T001,AutoZen Atocha,Madrid,C0412,V00447,M006,Pablo,Sí
2000202,2023-02-23,2023-02-24,T001,AutoZen Atocha,Madrid,C0421,V00456,M004,Leo,No
2000203,2023-02-23,2023-02-23,T002,AutoZen Norte,Madrid,C0532,V00584,M001,Luis,Sí
2000204,2023-02-23,2023-02-23,T003,AutoZen Mar,Valencia,C0470,V00513,M005,Irene,No
2000205,2023-02-23,2023-02-24,T003,AutoZen Mar,Valencia,C0709,V00778,M003,Nuria,No
2000206,2023-02-23,2023-02-24,T003,AutoZen Mar,Valencia,C0456,V00496,M005,Irene,No
2000207,2023-02-23,2023-02-24,T002,AutoZen Norte,Madrid,C0513,V00563,M004,Leo,Sí
2000208,2023-02-23,2023-02-23,T001,AutoZen Atocha,Madrid,C0345,V00372,M005,Irene,No
2000209,2023-02-23,2023-02-23,T001,AutoZen Atocha,Madrid,C0866,V00950,M002,Sara,No
2000210,2023-02-24,2023-02-24,T001,AutoZen Atocha,Madrid,C0760,V00834,M004,Leo,No
2000211,2023-02-24,2023-02-25,T004,AutoZen Triana,Sevilla,C0804,V00881,M001,Luis,No
2000212,2023-02-24,2023-02-24,T002,AutoZen Norte,Madrid,C0034,V00041,M001,Luis,Sí
2000213,2023-02-24,2023-02-24,T003,AutoZen Mar,Valencia,C0744,V00817,M005,Irene,No
2000214,2023-02-24,2023-02-25,T001,AutoZen Atocha,Madrid,C0726,V00799,M005,Irene,No
2000215,2023-02-24,2023-02-24,T002,AutoZen Norte,Madrid,C0001,V00002,M004,Leo,No
2000216,2023-02-24,2023-02-24,T001,AutoZen Atocha,Madrid,C0620,V00682,M003,Nuria,No
2000217,2023-02-24,2023-02-24,T003,AutoZen Mar,Valencia,C0670,V00733,M004,Leo,No
2000218,2023-02-25,2023-02-26,T001,AutoZen Atocha,Madrid,C0363,V00393,M002,Sara,No
2000219,2023-02-25,2023-02-25,T002,AutoZen Norte,Madrid,C0331,V00356,M005,Irene,Sí
2000220,2023-02-25,2023-02-26,T004,AutoZen Triana,Sevilla,C0056,V00063,M002,Sara,No
2000221,2023-02-25,2023-02-25,T001,AutoZen Atocha,Madrid,C0806,V00884,M002,Sara,No
2000222,2023-02-25,2023-02-25,T002,AutoZen Norte,Madrid,C0651,V00715,M006,Pablo,No
2000223,2023-02-25,2023-02-25,T002,AutoZen Norte,Madrid,C0829,V00908,M004,Leo,No
2000224,2023-02-25,2023-02-27,T001,AutoZen Atocha,Madrid,C0848,V00930,M006,Pablo,No
2000225,2023-02-25,2023-02-26,T004,AutoZen Triana,Sevilla,C0557,V00611,M005,Irene,Sí
2000226,2023-02-25,2023-02-26,T004,AutoZen Triana,Sevilla,C0441,V00478,M002,Sara,No
2000227,2023-02-25,2023-02-26,T003,AutoZen Mar,Valencia,C0207,V00232,M002,Sara,No
2000228,2023-02-26,2023-02-27,T002,AutoZen Norte,Madrid,C0844,V00926,M002,Sara,No
2000229,2023-02-27,2023-03-01,T003,AutoZen Mar,Valencia,C0684,V00751,M006,Pablo,No
2000230,2023-02-27,2023-02-28,T003,AutoZen Mar,Valencia,C0352,V00379,M002,Sara,No
2000231,2023-02-27,2023-02-28,T004,AutoZen Triana,Sevilla,C0643,V00707,M002,Sara,No
2000232,2023-02-27,2023-02-27,T003,AutoZen Mar,Valencia,C0546,V00599,M002,Sara,No
2000233,2023-02-27,2023-02-27,T002,AutoZen Norte,Madrid,C0889,V00975,M005,Irene,No
2000234,2023-02-27,2023-02-27,T003,AutoZen Mar,Valencia,C0504,V00551,M006,Pablo,No
2000235,2023-02-27,2023-02-27,T004,AutoZen Triana,Sevilla,C0629,V00692,M003,Nuria,No
2000236,2023-02-27,2023-02-28,T002,AutoZen Norte,Madrid,C0008,V00011,M006,Pablo,No
2000237,2023-02-27,2023-02-28,T001,AutoZen Atocha,Madrid,C0161,V00181,M006,Pablo,Sí
2000238,2023-02-27,2023-02-27,T004,AutoZen Triana,Sevilla,C0427,V00463,M006,Pablo,No
2000239,2023-02-27,2023-02-27,T004,AutoZen Triana,Sevilla,C0155,V00173,M005,Irene,No
2000240,2023-02-27,2023-02-27,T003,AutoZen Mar,Valencia,C0504,V00550,M005,Irene,No
2000241,2023-02-28,2023-03-01,T004,AutoZen Triana,Sevilla,C0323,V00347,M005,Irene,Sí
2000242,2023-02-28,2023-02-28,T003,AutoZen Mar,Valencia,C0705,V00772,M006,Pablo,No
2000243,2023-02-28,2023-02-28,T003,AutoZen Mar,Valencia,C0116,V00126,M006,Pablo,No
2000244,2023-02-28,2023-03-01,T001,AutoZen Atocha,Madrid,C0288,V00315,M002,Sara,No
2000245,2023-02-28,2023-02-28,T003,AutoZen Mar,Valencia,C0575,V00631,M001,Luis,No
2000246,2023-02-28,2023-03-01,T003,AutoZen Mar,Valencia,C0040,V00047,M006,Pablo,No
2000247,2023-02-28,2023-03-01,T002,AutoZen Norte,Madrid,C0887,V00973,M006,Pablo,No
2000248,2023-02-28,2023-02-28,T004,AutoZen Triana,Sevilla,C0601,V00662,M003,Nuria,No
2000249,2023-03-01,2023-03-02,T001,AutoZen Atocha,Madrid,C0720,V00793,M006,Pablo,No
2000250,2023-03-01,2023-03-01,T003,AutoZen Mar,Valencia,C0687,V00753,M001,Luis,No
2000251,2023-03-01,2023-03-01,T002,AutoZen Norte,Madrid,C0239,V00267,M006,Pablo,No
2000252,2023-03-02,2023-03-03,T002,AutoZen Norte,Madrid,C0850,V00932,M001,Luis,No
2000253,2023-03-02,2023-03-03,T002,AutoZen Norte,Madrid,C0081,V00087,M005,Irene,No
2000254,2023-03-02,2023-03-03,T004,AutoZen Triana,Sevilla,C0811,V00889,M002,Sara,No
2000255,2023-03-02,2023-03-02,T002,AutoZen Norte,Madrid,C0426,V00462,M006,Pablo,Sí
2000256,2023-03-02,2023-03-02,T001,AutoZen Atocha,Madrid,C0262,V00291,M002,Sara,No
2000257,2023-03-02,2023-03-02,T002,AutoZen Norte,Madrid,C0678,V00744,M002,Sara,No
2000258,2023-03-02,2023-03-02,T003,AutoZen Mar,Valencia,C0835,V00915,M004,Leo,No
2000259,2023-03-02,2023-03-02,T004,AutoZen Triana,Sevilla,C0141,V00161,M001,Luis,No
2000260,2023-03-03,2023-03-04,T004,AutoZen Triana,Sevilla,C0745,V00818,M004,Leo,Sí
2000261,2023-03-03,2023-03-04,T004,AutoZen Triana,Sevilla,C0111,V00121,M006,Pablo,No
