ReservaID,LineaID,HotelID,HotelNombre,DestinoID,PaisDestino,CiudadDestino,Regimen,Noches,Viajeros,PrecioNoche
3000076,1,H0008,CityStay Venecia 2,D003,Italia,Venecia,Desayuno,4,1,99.75
3000077,1,H0009,Aureo París 1,D004,Francia,París,Desayuno,4,1,99.23
3000078,1,H0010,Sakura París 2,D004,Francia,París,Desayuno,5,3,89.77
3000079,1,H0028,Aureo Sevilla 2,D010,España,Sevilla,Media pensión,5,2,77.17
3000080,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Solo alojamiento,3,3,109.72
3000081,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Media pensión,4,3,154.35
3000082,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Desayuno,4,1,67.5
3000083,1,H0036,Duomo Tokio 1,D013,Japón,Tokio,Desayuno,2,4,111.15
3000084,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Media pensión,3,1,64.12
3000085,1,H0031,Aureo Valencia 3,D011,España,Valencia,Media pensión,4,1,63.0
3000086,1,H0008,CityStay Venecia 2,D003,Italia,Venecia,Pensión completa,4,2,104.74
3000087,1,H0034,Duomo Nueva York 3,D012,EEUU,Nueva York,Desayuno,3,2,119.7
3000088,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Pensión completa,2,2,139.65
3000089,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Solo alojamiento,3,2,103.95
3000090,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Desayuno,4,1,78.75
3000091,1,H0022,BlueWave Berlín 2,D008,Alemania,Berlín,Pensión completa,3,1,81.22
3000092,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Media pensión,5,4,112.81
3000093,1,H0003,Atlas Roma 3,D001,Italia,Roma,Pensión completa,5,3,99.75
3000094,1,H0004,Duomo Florencia 1,D002,Italia,Florencia,Solo alojamiento,6,2,112.81
3000095,1,H0024,Duomo Berlín 4,D008,Alemania,Berlín,Desayuno,5,1,85.5
3000096,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Media pensión,7,2,67.5
3000097,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Pensión completa,4,1,67.5
3000098,1,H0019,Atlas Londres 3,D007,Reino Unido,Londres,Media pensión,4,1,121.28
3000099,1,H0036,Duomo Tokio 1,D013,Japón,Tokio,Pensión completa,6,2,117.0
3000100,1,H0014,Atlas Oporto 1,D006,Portugal,Oporto,Solo alojamiento,2,1,78.75
3000101,1,H0008,CityStay Venecia 2,D003,Italia,Venecia,Solo alojamiento,3,1,94.76
3000102,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Solo alojamiento,5,4,117.0
3000103,1,H0014,Atlas Oporto 1,D006,Portugal,Oporto,Pensión completa,4,2,82.69
3000104,1,H0019,Atlas Londres 3,D007,Reino Unido,Londres,Solo alojamiento,6,2,121.28
3000105,1,H0007,Duomo Venecia 1,D003,Italia,Venecia,Pensión completa,3,2,104.74
3000106,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Media pensión,2,3,118.75
3000107,1,H0002,Sakura Roma 2,D001,Italia,Roma,Pensión completa,4,1,99.75
3000108,1,H0025,Aureo Barcelona 1,D009,España,Barcelona,Pensión completa,4,2,83.12
3000109,1,H0010,Sakura París 2,D004,Francia,París,Desayuno,4,1,89.77
3000110,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Pensión completa,2,4,67.5
3000111,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Media pensión,6,1,117.0
3000112,1,H0005,CityStay Florencia 2,D002,Italia,Florencia,Desayuno,2,2,89.78
3000113,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Desayuno,4,1,99.0
3000114,1,H0032,BlueWave Nueva York 1,D012,EEUU,Nueva York,Solo alojamiento,3,2,166.25
3000115,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Desayuno,3,1,112.81
3000116,1,H0035,Duomo Nueva York 4,D012,EEUU,Nueva York,Media pensión,4,1,126.0
3000117,1,H0030,Atlas Valencia 2,D011,España,Valencia,Pensión completa,5,1,69.83
3000118,1,H0030,Atlas Valencia 2,D011,España,Valencia,Desayuno,6,2,73.5
3000119,1,H0016,CityStay Oporto 3,D006,Portugal,Oporto,Solo alojamiento,7,3,64.12
3000120,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Desayuno,4,2,139.65
3000121,1,H0005,CityStay Florencia 2,D002,Italia,Florencia,Solo alojamiento,3,1,81.22
3000122,1,H0024,Duomo Berlín 4,D008,Alemania,Berlín,Desayuno,4,1,85.5
3000123,1,H0029,Sakura Valencia 1,D011,España,Valencia,Desayuno,3,1,91.88
3000124,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Media pensión,6,4,67.5
3000125,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Media pensión,3,2,64.12
3000126,1,H0009,Aureo París 1,D004,Francia,París,Pensión completa,4,3,99.23
3000127,1,H0008,CityStay Venecia 2,D003,Italia,Venecia,Solo alojamiento,2,3,99.75
3000128,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Desayuno,7,4,124.69
3000129,1,H0032,BlueWave Nueva York 1,D012,EEUU,Nueva York,Solo alojamiento,6,1,183.75
3000130,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Solo alojamiento,2,2,64.12
3000131,1,H0030,Atlas Valencia 2,D011,España,Valencia,Pensión completa,2,3,73.5
3000132,1,H0026,Sakura Barcelona 2,D009,España,Barcelona,Desayuno,5,1,87.5
3000133,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Pensión completa,3,2,117.0
3000134,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Media pensión,3,2,112.81
3000135,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Media pensión,2,1,136.5
3000136,1,H0039,Atlas Tokio 4,D013,Japón,Tokio,Pensión completa,2,4,162.5
3000137,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Solo alojamiento,4,1,143.33
3000138,1,H0026,Sakura Barcelona 2,D009,España,Barcelona,Desayuno,7,3,87.5
3000139,1,H0007,Duomo Venecia 1,D003,Italia,Venecia,Pensión completa,5,1,104.74
3000140,1,H0010,Sakura París 2,D004,Francia,París,Media pensión,3,1,89.77
3000141,1,H0025,Aureo Barcelona 1,D009,España,Barcelona,Media pensión,5,1,91.88
3000142,1,H0002,Sakura Roma 2,D001,Italia,Roma,Solo alojamiento,4,1,99.75
3000143,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Solo alojamiento,3,1,136.5
3000144,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Pensión completa,3,3,74.81
3000145,1,H0010,Sakura París 2,D004,Francia,París,Media pensión,3,2,94.5
3000146,1,H0009,Aureo París 1,D004,Francia,París,Media pensión,5,3,94.5
3000147,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Desayuno,5,1,109.72
3000148,1,H0022,BlueWave Berlín 2,D008,Alemania,Berlín,Media pensión,2,3,85.5
3000149,1,H0002,Sakura Roma 2,D001,Italia,Roma,Solo alojamiento,3,1,104.74
3000150,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Media pensión,4,4,136.5
3000151,1,H0034,Duomo Nueva York 3,D012,EEUU,Nueva York,Desayuno,3,2,126.0
3000152,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Solo alojamiento,2,2,103.95
3000153,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Solo alojamiento,4,1,82.69
3000154,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Media pensión,3,2,99.75
3000155,1,H0008,CityStay Venecia 2,D003,Italia,Venecia,Solo alojamiento,5,3,104.74
3000156,1,H0018,BlueWave Londres 2,D007,Reino Unido,Londres,Media pensión,3,2,121.28
3000157,1,H0027,Aureo Sevilla 1,D010,España,Sevilla,Desayuno,4,2,59.85
3000158,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Desayuno,3,1,94.76
3000159,1,H0011,Duomo París 3,D004,Francia,París,Media pensión,7,2,115.76
3000160,1,H0006,Sakura Florencia 3,D002,Italia,Florencia,Media pensión,4,1,81.22
3000161,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Media pensión,3,1,117.0
3000162,1,H0003,Atlas Roma 3,D001,Italia,Roma,Solo alojamiento,3,2,104.74
3000163,1,H0006,Sakura Florencia 3,D002,Italia,Florencia,Solo alojamiento,3,4,81.22
3000164,1,H0039,Atlas Tokio 4,D013,Japón,Tokio,Desayuno,4,2,154.38
3000165,1,H0022,BlueWave Berlín 2,D008,Alemania,Berlín,Desayuno,2,2,89.78
3000166,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Media pensión,2,3,67.5
3000167,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Media pensión,6,2,118.75
3000168,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Media pensión,2,3,99.0
3000169,1,H0009,Aureo París 1,D004,Francia,París,Desayuno,2,2,99.23
3000170,1,H0029,Sakura Valencia 1,D011,España,Valencia,Solo alojamiento,4,2,83.12
3000171,1,H0005,CityStay Florencia 2,D002,Italia,Florencia,Solo alojamiento,2,2,85.5
3000172,1,H0034,Duomo Nueva York 3,D012,EEUU,Nueva York,Media pensión,7,3,119.7
3000173,1,H0009,Aureo París 1,D004,Francia,París,Desayuno,3,2,94.5
3000174,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Desayuno,2,2,117.0
3000175,1,H0010,Sakura París 2,D004,Francia,París,Pensión completa,7,3,94.5
3000176,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Solo alojamiento,3,1,143.33
3000177,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Solo alojamiento,5,2,109.72
3000178,1,H0031,Aureo Valencia 3,D011,España,Valencia,Pensión completa,6,4,63.0
3000179,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Desayuno,5,2,67.5
3000180,1,H0009,Aureo París 1,D004,Francia,París,Pensión completa,5,1,89.77
3000181,1,H0011,Duomo París 3,D004,Francia,París,Media pensión,4,2,115.76
3000182,1,H0026,Sakura Barcelona 2,D009,España,Barcelona,Media pensión,4,4,87.5
3000183,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Solo alojamiento,4,1,70.88
3000184,1,H0024,Duomo Berlín 4,D008,Alemania,Berlín,Desayuno,3,3,89.78
3000185,1,H0002,Sakura Roma 2,D001,Italia,Roma,Desayuno,3,4,94.76
3000186,1,H0001,CityStay Roma 1,D001,Italia,Roma,Desayuno,5,1,99.75
3000187,1,H0010,Sakura París 2,D004,Francia,París,Solo alojamiento,2,1,94.5
3000188,1,H0030,Atlas Valencia 2,D011,España,Valencia,Desayuno,5,1,69.83
3000189,1,H0035,Duomo Nueva York 4,D012,EEUU,Nueva York,Media pensión,4,2,132.3
3000190,1,H0039,Atlas Tokio 4,D013,Japón,Tokio,Solo alojamiento,3,2,162.5
3000191,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Desayuno,4,2,122.85
3000192,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Media pensión,7,3,139.65
3000193,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Media pensión,2,2,67.5
3000194,1,H0019,Atlas Londres 3,D007,Reino Unido,Londres,Pensión completa,4,1,109.72
3000195,1,H0011,Duomo París 3,D004,Francia,París,Solo alojamiento,5,2,115.76
3000196,1,H0019,Atlas Londres 3,D007,Reino Unido,Londres,Pensión completa,4,1,121.28
3000197,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Pensión completa,5,2,154.35
3000198,1,H0018,BlueWave Londres 2,D007,Reino Unido,Londres,Solo alojamiento,4,1,109.72
3000199,1,H0026,Sakura Barcelona 2,D009,España,Barcelona,Desayuno,6,2,87.5
3000200,1,H0030,Atlas Valencia 2,D011,España,Valencia,Pensión completa,3,1,77.17
3000201,1,H0006,Sakura Florencia 3,D002,Italia,Florencia,Media pensión,3,3,85.5
3000202,1,H0014,Atlas Oporto 1,D006,Portugal,Oporto,Desayuno,2,2,78.75
3000203,1,H0001,CityStay Roma 1,D001,Italia,Roma,Solo alojamiento,6,1,104.74
3000204,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Media pensión,3,1,99.0
3000205,1,H0010,Sakura París 2,D004,Francia,París,Media pensión,5,2,89.77
3000206,1,H0003,Atlas Roma 3,D001,Italia,Roma,Pensión completa,2,1,99.75
3000207,1,H0024,Duomo Berlín 4,D008,Alemania,Berlín,Media pensión,3,2,81.22
3000208,1,H0016,CityStay Oporto 3,D006,Portugal,Oporto,Solo alojamiento,3,2,67.5
3000209,1,H0018,BlueWave Londres 2,D007,Reino Unido,Londres,Pensión completa,6,2,115.5
3000210,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Media pensión,7,2,94.76
3000211,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Solo alojamiento,5,1,115.5
3000212,1,H0030,Atlas Valencia 2,D011,España,Valencia,Solo alojamiento,4,1,73.5
3000213,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Media pensión,6,2,147.0
3000214,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Solo alojamiento,5,1,115.5
3000215,1,H0029,Sakura Valencia 1,D011,España,Valencia,Pensión completa,3,2,83.12
3000216,1,H0026,Sakura Barcelona 2,D009,España,Barcelona,Solo alojamiento,7,2,83.12
3000217,1,H0006,Sakura Florencia 3,D002,Italia,Florencia,Desayuno,6,1,81.22
3000218,1,H0030,Atlas Valencia 2,D011,España,Valencia,Desayuno,3,1,73.5
3000219,1,H0008,CityStay Venecia 2,D003,Italia,Venecia,Media pensión,7,3,94.76
3000220,1,H0007,Duomo Venecia 1,D003,Italia,Venecia,Pensión completa,4,1,99.75
3000221,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Solo alojamiento,6,2,129.67
3000222,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Desayuno,4,2,94.05
3000223,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Desayuno,3,1,99.75
3000224,1,H0011,Duomo París 3,D004,Francia,París,Solo alojamiento,2,2,110.25
3000225,1,H0006,Sakura Florencia 3,D002,Italia,Florencia,Media pensión,3,3,85.5
3000226,1,H0030,Atlas Valencia 2,D011,España,Valencia,Solo alojamiento,2,2,77.17
3000227,1,H0003,Atlas Roma 3,D001,Italia,Roma,Solo alojamiento,4,1,99.75
3000228,1,H0027,Aureo Sevilla 1,D010,España,Sevilla,Solo alojamiento,2,1,63.0
3000229,1,H0030,Atlas Valencia 2,D011,España,Valencia,Pensión completa,5,4,73.5
3000230,1,H0026,Sakura Barcelona 2,D009,España,Barcelona,Desayuno,5,2,91.88
3000231,1,H0008,CityStay Venecia 2,D003,Italia,Venecia,Desayuno,3,2,99.75
3000232,1,H0027,Aureo Sevilla 1,D010,España,Sevilla,Media pensión,5,1,63.0
3000233,1,H0018,BlueWave Londres 2,D007,Reino Unido,Londres,Desayuno,2,2,115.5
3000234,1,H0030,Atlas Valencia 2,D011,España,Valencia,Media pensión,2,1,69.83
3000235,1,H0001,CityStay Roma 1,D001,Italia,Roma,Pensión completa,2,2,99.75
3000236,1,H0007,Duomo Venecia 1,D003,Italia,Venecia,Pensión completa,2,1,104.74
3000237,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Pensión completa,6,3,136.5
3000238,1,H0039,Atlas Tokio 4,D013,Japón,Tokio,Pensión completa,3,1,154.38
3000239,1,H0024,Duomo Berlín 4,D008,Alemania,Berlín,Pensión completa,4,2,85.5
3000240,1,H0029,Sakura Valencia 1,D011,España,Valencia,Pensión completa,4,1,83.12
3000241,1,H0014,Atlas Oporto 1,D006,Portugal,Oporto,Media pensión,3,2,78.75
3000242,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Desayuno,3,1,78.75
3000243,1,H0025,Aureo Barcelona 1,D009,España,Barcelona,Solo alojamiento,4,2,87.5
3000244,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Pensión completa,2,2,147.0
3000245,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Solo alojamiento,4,1,99.0
3000246,1,H0031,Aureo Valencia 3,D011,España,Valencia,Desayuno,2,1,63.0
3000247,1,H0025,Aureo Barcelona 1,D009,España,Barcelona,Solo alojamiento,4,2,87.5
3000248,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Pensión completa,3,2,94.76
3000249,1,H0022,BlueWave Berlín 2,D008,Alemania,Berlín,Pensión completa,2,2,89.78
3000250,1,H0039,Atlas Tokio 4,D013,Japón,Tokio,Media pensión,6,1,170.62
3000251,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Pensión completa,5,3,147.0
3000252,1,H0009,Aureo París 1,D004,Francia,París,Pensión completa,3,2,89.77
3000253,1,H0019,Atlas Londres 3,D007,Reino Unido,Londres,Solo alojamiento,2,1,115.5
3000254,1,H0031,Aureo Valencia 3,D011,España,Valencia,Pensión completa,4,3,59.85
3000255,1,H0029,Sakura Valencia 1,D011,España,Valencia,Media pensión,6,1,91.88
3000256,1,H0010,Sakura París 2,D004,Francia,París,Pensión completa,4,1,94.5
3000257,1,H0030,Atlas Valencia 2,D011,España,Valencia,Pensión completa,4,3,73.5
3000258,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Desayuno,5,1,64.12
3000259,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Pensión completa,2,2,64.12
3000260,1,H0034,Duomo Nueva York 3,D012,EEUU,Nueva York,Media pensión,2,1,119.7
3000261,1,H0016,CityStay Oporto 3,D006,Portugal,Oporto,Solo alojamiento,6,4,70.88
3000262,1,H0009,Aureo París 1,D004,Francia,París,Pensión completa,2,2,94.5
3000263,1,H0031,Aureo Valencia 3,D011,España,Valencia,Media pensión,3,1,66.15
3000264,1,H0003,Atlas Roma 3,D001,Italia,Roma,Solo alojamiento,5,2,104.74
3000265,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Media pensión,2,2,122.85
3000266,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Solo alojamiento,2,2,82.69
3000267,1,H0007,Duomo Venecia 1,D003,Italia,Venecia,Solo alojamiento,2,1,104.74
3000268,1,H0010,Sakura París 2,D004,Francia,París,Solo alojamiento,2,1,99.23
3000269,1,H0001,CityStay Roma 1,D001,Italia,Roma,Pensión completa,6,2,94.76
3000270,1,H0001,CityStay Roma 1,D001,Italia,Roma,Pensión completa,4,3,99.75
3000271,1,H0024,Duomo Berlín 4,D008,Alemania,Berlín,Media pensión,2,1,81.22
3000272,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Solo alojamiento,2,2,122.85
3000273,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Solo alojamiento,2,2,139.65
3000274,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Pensión completa,2,2,78.75
3000275,1,H0002,Sakura Roma 2,D001,Italia,Roma,Desayuno,6,4,94.76
3000276,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Desayuno,4,1,115.5
3000277,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Desayuno,3,3,104.74
3000278,1,H0004,Duomo Florencia 1,D002,Italia,Florencia,Solo alojamiento,5,2,112.81
3000279,1,H0016,CityStay Oporto 3,D006,Portugal,Oporto,Solo alojamiento,7,1,70.88
3000280,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Media pensión,5,2,136.5
3000281,1,H0036,Duomo Tokio 1,D013,Japón,Tokio,Desayuno,4,2,111.15
3000282,1,H0005,CityStay Florencia 2,D002,Italia,Florencia,Solo alojamiento,5,1,85.5
3000283,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Solo alojamiento,7,2,67.5
3000284,1,H0028,Aureo Sevilla 2,D010,España,Sevilla,Desayuno,3,1,73.5
3000285,1,H0035,Duomo Nueva York 4,D012,EEUU,Nueva York,Desayuno,6,1,132.3
3000286,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Media pensión,2,1,74.81
3000287,1,H0025,Aureo Barcelona 1,D009,España,Barcelona,Desayuno,5,2,83.12
3000288,1,H0014,Atlas Oporto 1,D006,Portugal,Oporto,Solo alojamiento,2,2,78.75
