PedidoID,LineaID,SKU,ProductoNombre,Categoria,Marca,Talla,Color,Unidades,PrecioUnit,IVAPct
1000011,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,M,Negro,1,14.99,0.21
1000012,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,M,Beige,1,44.99,0.21
1000013,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,44,Gris,1,56.99,0.21
1000014,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,39,Rojo,2,75.99,0.21
1000014,2,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Azul,1,69.99,0.21
1000014,3,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Gris,2,26.24,0.21
1000015,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,S,Gris,1,66.49,0.21
1000015,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,S,Verde,2,14.99,0.21
1000016,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Negro,2,12.99,0.21
1000017,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Gris,1,12.99,0.21
1000017,2,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Azul,1,39.99,0.21
1000017,3,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Rojo,1,14.99,0.21
1000018,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XS,Verde,1,20.99,0.21
1000018,2,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Azul,1,13.64,0.21
1000019,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Gris,1,69.99,0.21
1000019,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,40,Blanco,1,56.99,0.21
1000019,3,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,41,Azul,2,83.99,0.21
1000020,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,S,Rojo,1,19.99,0.21
1000021,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Blanco,3,41.99,0.21
1000022,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,L,Beige,1,41.99,0.21
1000022,2,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,XL,Negro,1,44.99,0.21
1000023,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Azul,1,37.99,0.21
1000024,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,M,Verde,1,44.99,0.21
1000025,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Rojo,1,23.74,0.21
1000025,2,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,S,Blanco,1,41.99,0.21
1000026,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Rojo,1,18.99,0.21
1000027,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,XS,Azul,1,44.99,0.21
1000027,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,S,Verde,1,19.99,0.21
1000027,3,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,40,Gris,1,75.99,0.21
1000028,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,L,Gris,1,42.74,0.21
1000028,2,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,S,Blanco,1,66.49,0.21
1000028,3,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,40,Gris,1,83.99,0.21
1000028,4,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,40,Azul,1,59.99,0.21
1000029,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,L,Gris,1,44.99,0.21
1000029,2,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,42,Gris,2,83.99,0.21
1000030,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,39,Gris,1,79.99,0.21
1000031,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,44,Beige,1,79.99,0.21
1000032,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,42,Rojo,1,79.99,0.21
1000032,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XL,Azul,1,14.99,0.21
1000033,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,43,Negro,2,75.99,0.21
1000034,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,S,Rojo,1,69.99,0.21
1000035,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Azul,1,39.99,0.21
1000036,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,S,Azul,2,37.99,0.21
1000037,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Blanco,2,23.74,0.21
1000037,2,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Azul,1,39.99,0.21
1000038,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Negro,1,12.99,0.21
1000039,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,XL,Negro,1,69.99,0.21
1000039,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,41,Blanco,1,59.99,0.21
1000040,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Gris,1,24.99,0.21
1000040,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Verde,1,14.99,0.21
1000041,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,XS,Gris,1,47.24,0.21
1000042,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,44,Beige,2,59.99,0.21
1000042,2,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Gris,1,24.99,0.21
1000043,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Beige,1,41.99,0.21
1000044,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,M,Blanco,1,47.24,0.21
1000045,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,S,Gris,1,19.99,0.21
1000046,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Negro,1,24.99,0.21
1000046,2,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Azul,1,73.49,0.21
1000046,3,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,44,Rojo,2,83.99,0.21
1000047,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,S,Blanco,1,14.24,0.21
1000047,2,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,XS,Blanco,1,44.99,0.21
1000047,3,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Beige,1,41.99,0.21
1000047,4,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Negro,3,69.99,0.21
1000048,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Azul,1,39.99,0.21
1000049,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,L,Verde,1,44.99,0.21
1000050,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,L,Blanco,1,44.99,0.21
1000050,2,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Beige,1,12.99,0.21
1000050,3,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Blanco,1,20.99,0.21
1000051,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,XL,Rojo,1,69.99,0.21
1000051,2,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,39,Azul,1,79.99,0.21
1000052,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,41,Azul,1,75.99,0.21
1000052,2,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Beige,1,13.64,0.21
1000052,3,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XS,Blanco,1,14.99,0.21
1000052,4,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Blanco,1,41.99,0.21
1000053,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,40,Verde,1,83.99,0.21
1000053,2,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,L,Blanco,1,44.99,0.21
1000054,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Gris,1,14.99,0.21
1000055,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,44,Azul,1,62.99,0.21
1000055,2,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Beige,1,41.99,0.21
1000056,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,40,Beige,1,79.99,0.21
1000057,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,L,Gris,1,44.99,0.21
1000058,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Verde,1,73.49,0.21
1000058,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,M,Azul,1,14.24,0.21
1000058,3,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Azul,2,39.99,0.21
1000059,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,40,Verde,1,56.99,0.21
1000059,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XL,Gris,1,15.74,0.21
1000059,3,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,XS,Azul,1,73.49,0.21
1000059,4,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Beige,3,26.24,0.21
1000060,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,S,Gris,1,14.99,0.21
1000061,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XL,Negro,1,14.99,0.21
1000061,2,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Azul,1,37.99,0.21
1000061,3,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Verde,1,73.49,0.21
1000061,4,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Blanco,2,12.99,0.21
1000062,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Blanco,1,24.99,0.21
1000063,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XL,Verde,1,18.99,0.21
1000063,2,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,S,Gris,2,73.49,0.21
1000063,3,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XS,Azul,1,15.74,0.21
1000063,4,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Rojo,1,39.99,0.21
1000064,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,S,Gris,1,44.99,0.21
1000064,2,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,40,Blanco,1,79.99,0.21
1000064,3,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,40,Rojo,1,56.99,0.21
1000065,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,44,Blanco,1,75.99,0.21
1000065,2,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Blanco,1,23.74,0.21
1000066,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Verde,2,69.99,0.21
1000067,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,S,Beige,1,37.99,0.21
1000067,2,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,XL,Azul,2,73.49,0.21
1000068,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,41,Azul,1,83.99,0.21
1000069,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,S,Azul,1,69.99,0.21
1000069,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Beige,1,19.99,0.21
1000069,3,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XL,Beige,1,14.99,0.21
1000070,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Blanco,2,12.99,0.21
1000071,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Negro,2,23.74,0.21
1000072,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Beige,1,13.64,0.21
1000072,2,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,41,Gris,1,79.99,0.21
1000072,3,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,S,Azul,1,44.99,0.21
1000073,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Negro,2,69.99,0.21
1000074,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,XL,Azul,1,44.99,0.21
1000075,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,43,Negro,1,79.99,0.21
1000076,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Beige,3,19.99,0.21
1000076,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,42,Beige,2,59.99,0.21
1000077,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,44,Rojo,1,56.99,0.21
1000077,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,S,Gris,1,15.74,0.21
1000077,3,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Gris,3,18.99,0.21
1000078,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,L,Gris,1,37.99,0.21
1000079,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,S,Gris,1,14.99,0.21
1000079,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,44,Gris,1,62.99,0.21
1000080,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Verde,1,12.34,0.21
1000080,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XL,Azul,3,18.99,0.21
1000080,3,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Verde,1,24.99,0.21
1000080,4,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,41,Gris,2,83.99,0.21
1000081,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,L,Verde,1,39.99,0.21
1000081,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XS,Verde,1,18.99,0.21
1000081,3,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XL,Negro,2,14.99,0.21
1000081,4,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Blanco,1,66.49,0.21
1000082,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Negro,1,14.99,0.21
1000082,2,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Rojo,3,13.64,0.21
1000083,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,S,Blanco,1,39.99,0.21
1000084,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,39,Negro,1,59.99,0.21
1000084,2,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Verde,1,69.99,0.21
1000084,3,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XS,Rojo,1,19.99,0.21
1000085,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,42,Gris,1,56.99,0.21
1000085,2,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,41,Verde,1,83.99,0.21
1000085,3,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,S,Beige,1,20.99,0.21
1000086,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Azul,1,12.34,0.21
1000087,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Azul,1,66.49,0.21
1000087,2,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,43,Rojo,1,79.99,0.21
1000087,3,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Verde,1,39.99,0.21
1000088,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Blanco,1,12.99,0.21
1000088,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Rojo,1,18.99,0.21
1000089,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XS,Beige,1,19.99,0.21
1000089,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XL,Gris,1,14.99,0.21
1000090,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Verde,2,73.49,0.21
1000091,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Gris,1,14.24,0.21
1000091,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XS,Azul,3,18.99,0.21
1000091,3,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,XS,Gris,1,42.74,0.21
1000092,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Gris,1,12.34,0.21
1000092,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Blanco,2,14.24,0.21
1000093,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Verde,1,19.99,0.21
1000094,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Negro,1,14.24,0.21
1000095,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,42,Blanco,1,79.99,0.21
1000095,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,43,Gris,2,56.99,0.21
1000096,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,42,Beige,1,83.99,0.21
1000097,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,43,Azul,1,79.99,0.21
1000098,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Rojo,1,26.24,0.21
1000099,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,41,Blanco,1,56.99,0.21
1000100,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,S,Azul,1,20.99,0.21
1000101,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,40,Verde,1,75.99,0.21
1000102,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Gris,1,12.99,0.21
1000102,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XS,Gris,2,14.99,0.21
1000102,3,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XL,Gris,1,41.99,0.21
1000102,4,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Azul,1,66.49,0.21
1000103,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,42,Azul,2,75.99,0.21
1000103,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XS,Verde,1,18.99,0.21
1000104,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Beige,1,39.99,0.21
1000105,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,42,Blanco,1,83.99,0.21
1000106,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,S,Negro,1,44.99,0.21
1000106,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,44,Azul,1,62.99,0.21
1000107,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,39,Rojo,1,79.99,0.21
1000107,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,41,Rojo,1,56.99,0.21
1000108,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,43,Blanco,3,83.99,0.21
1000108,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Beige,1,19.99,0.21
1000109,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,43,Blanco,1,59.99,0.21
1000110,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,S,Blanco,2,44.99,0.21
1000111,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,41,Negro,2,59.99,0.21
1000112,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Azul,1,69.99,0.21
1000112,2,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Negro,1,24.99,0.21
1000113,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,S,Gris,1,44.99,0.21
1000113,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,M,Negro,1,19.99,0.21
1000113,3,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,XL,Blanco,1,69.99,0.21
1000114,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XS,Gris,1,37.99,0.21
1000115,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,41,Azul,2,56.99,0.21
1000116,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Negro,1,24.99,0.21
1000116,2,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,XL,Beige,2,18.99,0.21
1000116,3,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,L,Blanco,1,37.99,0.21
1000116,4,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Negro,1,66.49,0.21
1000117,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Verde,1,26.24,0.21
1000117,2,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,XL,Rojo,1,44.99,0.21
1000117,3,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,40,Negro,1,79.99,0.21
1000118,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,S,Rojo,1,14.24,0.21
1000118,2,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,39,Azul,1,79.99,0.21
1000118,3,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Verde,1,24.99,0.21
1000118,4,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,M,Blanco,1,18.99,0.21
1000119,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Rojo,1,26.24,0.21
1000119,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,40,Blanco,1,59.99,0.21
1000120,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,XL,Negro,1,69.99,0.21
1000120,2,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Azul,1,24.99,0.21
1000121,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Beige,1,12.99,0.21
1000121,2,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Rojo,1,37.99,0.21
1000122,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,L,Azul,1,37.99,0.21
1000123,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,S,Negro,1,47.24,0.21
1000124,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,40,Blanco,1,59.99,0.21
1000124,2,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Azul,1,14.24,0.21
1000124,3,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,M,Blanco,2,18.99,0.21
1000125,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,M,Gris,1,20.99,0.21
1000126,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,M,Verde,2,19.99,0.21
1000127,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Beige,1,12.99,0.21
1000127,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,42,Rojo,1,62.99,0.21
1000127,3,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,XL,Negro,1,66.49,0.21
1000128,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,M,Negro,1,18.99,0.21
1000128,2,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Azul,2,12.99,0.21
1000128,3,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Azul,1,14.99,0.21
1000128,4,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Azul,1,26.24,0.21
1000129,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,L,Gris,1,44.99,0.21
1000130,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,44,Negro,1,56.99,0.21
1000130,2,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Beige,1,73.49,0.21
1000131,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,L,Gris,2,73.49,0.21
1000132,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,M,Gris,1,14.24,0.21
1000133,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XL,Negro,1,37.99,0.21
1000134,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Rojo,2,24.99,0.21
1000134,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,44,Blanco,1,59.99,0.21
1000134,3,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,M,Verde,2,18.99,0.21
1000135,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Beige,2,26.24,0.21
1000136,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,41,Azul,1,79.99,0.21
1000137,1,NC-SH-011,Zapatilla Runner,Calzado,Nord&Co,42,Verde,1,75.99,0.21
1000138,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,S,Beige,2,14.99,0.21
1000138,2,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Rojo,1,23.74,0.21
1000139,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,XS,Azul,1,66.49,0.21
1000140,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,S,Gris,3,14.24,0.21
1000140,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,39,Negro,2,56.99,0.21
1000140,3,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Verde,1,24.99,0.21
1000140,4,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,M,Blanco,2,44.99,0.21
1000141,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Blanco,1,24.99,0.21
1000142,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Gris,1,23.74,0.21
1000143,1,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Verde,1,24.99,0.21
1000144,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Negro,1,13.64,0.21
