EnvioID,FechaCreacion,FechaEntrega,ClienteID,OrigenCiudadID,DestinoCiudadID,ServicioID,EstadoID,TransportistaID,PesoKg,VolumenM3,Coste
15000024,2023-02-01,2023-02-02,CL0373,CI004,CI002,SV02,ST04,TR03,1.56,0.068,16.21
15000025,2023-02-01,2023-02-07,CL0322,CI009,CI012,SV04,ST04,TR04,2.0,0.121,51.71
15000026,2023-02-01,2023-02-06,CL0060,CI005,CI012,SV04,ST05,TR03,2.87,0.101,46.67
15000027,2023-02-01,2023-02-04,CL0070,CI008,CI005,SV01,ST05,TR04,4.03,0.117,23.17
15000028,2023-02-01,2023-02-03,CL0341,CI004,CI012,SV02,ST04,TR04,4.91,0.036,25.98
15000029,2023-02-01,2023-02-03,CL0189,CI012,CI004,SV02,ST04,TR04,6.65,0.097,42.21
15000030,2023-02-01,2023-02-01,CL0102,CI010,CI007,SV03,ST04,TR01,13.39,0.064,47.47
15000031,2023-02-01,2023-02-02,CL0355,CI013,CI008,SV02,ST04,TR02,4.43,0.135,44.3
15000032,2023-02-01,2023-02-03,CL0208,CI008,CI006,SV02,ST04,TR02,3.36,0.089,21.2
15000033,2023-02-01,2023-02-02,CL0214,CI008,CI012,SV02,ST04,TR04,11.18,0.211,65.18
15000034,2023-02-01,2023-02-02,CL0067,CI007,CI013,SV02,ST02,TR04,4.16,0.239,60.68
15000035,2023-02-01,2023-02-02,CL0327,CI005,CI008,SV02,ST04,TR03,4.65,0.116,25.61
15000036,2023-02-01,2023-02-04,CL0050,CI005,CI013,SV01,ST04,TR04,4.08,0.171,47.51
15000037,2023-02-01,2023-02-03,CL0336,CI004,CI005,SV02,ST04,TR03,8.85,0.203,39.83
15000038,2023-02-01,2023-02-03,CL0099,CI011,CI007,SV01,ST03,TR03,6.02,0.088,34.36
15000039,2023-02-01,2023-02-06,CL0024,CI011,CI003,SV04,ST04,TR04,2.36,0.141,56.07
15000040,2023-02-01,2023-02-03,CL0192,CI005,CI009,SV01,ST04,TR03,4.14,0.067,27.63
15000041,2023-02-01,2023-02-02,CL0293,CI003,CI007,SV02,ST04,TR02,6.16,0.135,27.78
15000042,2023-02-01,2023-02-03,CL0371,CI003,CI012,SV02,ST04,TR04,4.0,0.099,36.77
15000043,2023-02-01,2023-02-01,CL0019,CI005,CI002,SV03,ST04,TR03,4.33,0.08,26.25
15000044,2023-02-01,2023-02-03,CL0208,CI006,CI001,SV01,ST04,TR02,2.13,0.194,32.23
15000045,2023-02-01,2023-02-02,CL0080,CI002,CI010,SV02,ST04,TR04,4.36,0.132,45.8
15000046,2023-02-01,2023-02-03,CL0137,CI003,CI009,SV02,ST04,TR01,3.46,0.129,39.66
15000047,2023-02-01,2023-02-03,CL0080,CI011,CI010,SV02,ST03,TR03,4.32,0.091,37.48
15000048,2023-02-01,2023-02-05,CL0102,CI006,CI003,SV04,ST01,TR03,3.64,0.242,45.9
15000049,2023-02-01,2023-02-04,CL0023,CI013,CI007,SV04,ST02,TR03,4.37,0.204,71.06
15000050,2023-02-01,2023-02-03,CL0367,CI002,CI013,SV02,ST04,TR03,6.26,0.362,90.52
15000051,2023-02-01,2023-02-05,CL0319,CI002,CI007,SV01,ST04,TR01,4.69,0.087,19.15
15000052,2023-02-01,2023-02-03,CL0356,CI002,CI013,SV02,ST02,TR04,2.83,0.053,24.94
15000053,2023-02-01,2023-02-01,CL0208,CI011,CI004,SV03,ST04,TR01,1.35,0.142,47.61
15000054,2023-02-01,2023-02-04,CL0116,CI002,CI008,SV01,ST04,TR02,2.79,0.1,21.01
15000055,2023-02-01,2023-02-03,CL0143,CI010,CI006,SV02,ST04,TR02,5.29,0.123,41.07
15000056,2023-02-01,2023-02-03,CL0062,CI002,CI007,SV02,ST06,TR02,1.7,0.202,31.61
15000057,2023-02-01,2023-02-04,CL0025,CI009,CI007,SV01,ST04,TR03,5.73,0.286,71.96
15000058,2023-02-01,2023-02-02,CL0073,CI002,CI005,SV03,ST04,TR01,2.05,0.041,17.35
15000059,2023-02-01,2023-02-04,CL0067,CI008,CI001,SV01,ST04,TR04,2.92,0.04,12.93
15000060,2023-02-01,2023-02-01,CL0086,CI001,CI008,SV03,ST03,TR03,4.12,0.364,55.94
15000061,2023-02-01,2023-02-01,CL0363,CI001,CI007,SV03,ST04,TR03,1.88,0.264,44.87
15000062,2023-02-02,2023-02-03,CL0129,CI002,CI003,SV03,ST04,TR01,12.89,0.045,29.93
15000063,2023-02-02,2023-02-02,CL0281,CI013,CI003,SV03,ST04,TR02,2.36,0.044,28.73
15000064,2023-02-02,2023-02-03,CL0189,CI006,CI001,SV03,ST04,TR04,1.44,0.218,38.96
15000065,2023-02-02,2023-02-02,CL0122,CI008,CI009,SV03,ST04,TR03,3.22,0.144,50.68
15000066,2023-02-02,2023-02-08,CL0379,CI003,CI001,SV04,ST04,TR03,5.33,0.202,45.04
15000067,2023-02-02,2023-02-06,CL0093,CI003,CI013,SV04,ST03,TR01,6.22,0.046,41.22
15000068,2023-02-02,2023-02-03,CL0027,CI008,CI009,SV02,ST04,TR03,3.78,0.181,54.8
15000069,2023-02-02,2023-02-04,CL0003,CI001,CI010,SV01,ST04,TR04,1.36,0.379,87.7
15000070,2023-02-02,2023-02-03,CL0148,CI013,CI005,SV03,ST04,TR03,5.38,0.051,35.94
15000071,2023-02-02,2023-02-04,CL0375,CI013,CI007,SV02,ST03,TR01,1.45,0.162,47.45
15000072,2023-02-02,2023-02-04,CL0013,CI005,CI012,SV02,ST03,TR01,5.37,0.094,37.78
15000073,2023-02-02,2023-02-03,CL0290,CI011,CI011,SV02,ST04,TR03,4.97,0.059,18.1
15000074,2023-02-02,2023-02-05,CL0269,CI010,CI009,SV01,ST04,TR04,4.39,0.091,19.35
15000075,2023-02-02,2023-02-03,CL0156,CI006,CI011,SV02,ST04,TR01,4.98,0.361,92.91
15000076,2023-02-02,2023-02-04,CL0058,CI004,CI008,SV02,ST04,TR03,3.62,0.092,22.89
15000077,2023-02-02,2023-02-04,CL0255,CI004,CI003,SV02,ST04,TR04,1.77,0.111,21.29
15000078,2023-02-02,2023-02-07,CL0110,CI013,CI002,SV04,ST05,TR03,6.13,0.231,74.84
15000079,2023-02-02,2023-02-05,CL0238,CI005,CI011,SV01,ST04,TR02,2.33,0.598,126.97
15000080,2023-02-02,2023-02-02,CL0250,CI001,CI010,SV03,ST04,TR03,2.76,0.184,60.59
15000081,2023-02-02,2023-02-04,CL0076,CI013,CI011,SV01,ST04,TR01,3.06,0.112,36.45
15000082,2023-02-02,2023-02-05,CL0239,CI007,CI002,SV02,ST04,TR04,7.74,0.091,25.39
15000083,2023-02-02,2023-02-05,CL0255,CI009,CI006,SV01,ST04,TR02,7.85,0.091,37.58
15000084,2023-02-02,2023-02-07,CL0036,CI005,CI006,SV04,ST03,TR02,1.61,0.098,29.21
15000085,2023-02-02,2023-02-04,CL0321,CI002,CI001,SV01,ST01,TR01,3.68,0.126,22.74
15000086,2023-02-02,2023-02-03,CL0376,CI006,CI004,SV03,ST04,TR03,4.12,0.079,25.92
15000087,2023-02-02,2023-02-03,CL0145,CI006,CI001,SV03,ST04,TR03,3.74,0.154,31.68
15000088,2023-02-02,2023-02-03,CL0225,CI007,CI003,SV02,ST04,TR02,5.12,0.051,18.23
15000089,2023-02-03,2023-02-05,CL0043,CI009,CI011,SV01,ST04,TR04,2.17,0.093,29.78
15000090,2023-02-03,2023-02-03,CL0249,CI013,CI006,SV03,ST04,TR02,3.34,0.274,75.82
15000091,2023-02-03,2023-02-05,CL0235,CI011,CI003,SV02,ST04,TR01,3.52,0.095,35.31
15000092,2023-02-03,2023-02-04,CL0312,CI002,CI012,SV02,ST04,TR01,1.62,0.072,29.56
15000093,2023-02-03,2023-02-05,CL0296,CI005,CI004,SV01,ST04,TR02,2.81,0.051,13.44
15000094,2023-02-03,2023-02-03,CL0105,CI004,CI002,SV03,ST04,TR04,3.73,0.092,25.9
15000095,2023-02-03,2023-02-04,CL0142,CI011,CI009,SV02,ST04,TR04,3.1,0.088,33.36
15000096,2023-02-03,2023-02-04,CL0017,CI013,CI009,SV01,ST06,TR01,1.54,0.247,55.52
15000097,2023-02-03,2023-02-04,CL0070,CI002,CI013,SV03,ST04,TR04,8.76,0.111,49.71
15000098,2023-02-03,2023-02-04,CL0263,CI001,CI006,SV03,ST03,TR02,2.15,0.139,30.12
15000099,2023-02-03,2023-02-08,CL0328,CI003,CI012,SV04,ST04,TR03,2.8,0.188,62.44
15000100,2023-02-03,2023-02-04,CL0216,CI005,CI005,SV02,ST04,TR03,4.16,0.123,24.7
15000101,2023-02-03,2023-02-07,CL0163,CI008,CI010,SV04,ST04,TR04,1.5,0.141,57.57
15000102,2023-02-03,2023-02-03,CL0362,CI011,CI005,SV03,ST01,TR02,2.53,0.078,37.02
15000103,2023-02-03,2023-02-09,CL0133,CI001,CI003,SV04,ST04,TR04,2.61,0.078,27.71
15000104,2023-02-03,2023-02-05,CL0261,CI003,CI012,SV02,ST02,TR03,17.05,0.221,78.98
15000105,2023-02-03,2023-02-06,CL0180,CI012,CI003,SV01,ST02,TR04,2.43,0.118,36.7
15000106,2023-02-03,2023-02-06,CL0191,CI012,CI013,SV01,ST04,TR02,3.93,0.161,45.37
15000107,2023-02-03,2023-02-04,CL0009,CI004,CI005,SV02,ST04,TR02,3.82,0.139,27.62
15000108,2023-02-03,2023-02-03,CL0125,CI013,CI003,SV03,ST04,TR03,1.54,0.053,30.79
15000109,2023-02-03,2023-02-04,CL0136,CI005,CI006,SV01,ST04,TR01,1.68,0.22,33.41
15000110,2023-02-03,2023-02-04,CL0236,CI003,CI008,SV02,ST04,TR01,5.26,0.205,36.83
15000111,2023-02-03,2023-02-03,CL0181,CI007,CI011,SV03,ST04,TR01,3.62,0.164,52.35
15000112,2023-02-03,2023-02-04,CL0276,CI004,CI009,SV02,ST04,TR04,3.48,0.102,38.42
15000113,2023-02-03,2023-02-03,CL0025,CI007,CI005,SV03,ST03,TR03,2.1,0.111,25.37
15000114,2023-02-03,2023-02-04,CL0379,CI005,CI007,SV03,ST04,TR03,6.18,0.041,20.88
15000115,2023-02-03,2023-02-04,CL0120,CI010,CI004,SV02,ST03,TR02,2.19,0.197,52.98
15000116,2023-02-03,2023-02-03,CL0049,CI008,CI007,SV03,ST05,TR02,1.75,0.093,24.23
15000117,2023-02-03,2023-02-03,CL0328,CI001,CI011,SV03,ST04,TR01,3.86,0.184,59.29
15000118,2023-02-03,2023-02-04,CL0357,CI001,CI007,SV02,ST04,TR03,7.27,0.072,21.55
15000119,2023-02-03,2023-02-06,CL0251,CI003,CI001,SV01,ST04,TR04,3.13,0.069,16.6
15000120,2023-02-03,2023-02-04,CL0376,CI008,CI002,SV02,ST05,TR03,5.22,0.146,29.72
15000121,2023-02-03,2023-02-05,CL0292,CI009,CI004,SV02,ST04,TR02,2.56,0.05,25.29
15000122,2023-02-03,2023-02-06,CL0124,CI007,CI001,SV01,ST04,TR04,1.49,0.121,21.36
15000123,2023-02-03,2023-02-05,CL0284,CI001,CI010,SV01,ST04,TR04,16.42,0.082,48.19
15000124,2023-02-03,2023-02-04,CL0049,CI010,CI004,SV03,ST04,TR01,10.48,0.174,63.55
15000125,2023-02-03,2023-02-04,CL0086,CI002,CI010,SV02,ST04,TR01,5.62,0.19,56.57
15000126,2023-02-03,2023-02-07,CL0339,CI007,CI011,SV01,ST04,TR03,2.6,0.113,34.24
15000127,2023-02-03,2023-02-04,CL0134,CI005,CI001,SV02,ST04,TR04,2.97,0.192,33.21
15000128,2023-02-03,2023-02-05,CL0246,CI009,CI011,SV02,ST03,TR01,1.2,0.06,25.25
15000129,2023-02-03,2023-02-04,CL0239,CI006,CI011,SV02,ST04,TR02,1.88,0.13,41.65
15000130,2023-02-04,2023-02-06,CL0195,CI005,CI013,SV02,ST02,TR04,2.72,0.183,51.05
15000131,2023-02-04,2023-02-05,CL0182,CI012,CI008,SV02,ST02,TR01,2.11,0.182,49.98
15000132,2023-02-04,2023-02-08,CL0321,CI007,CI013,SV04,ST04,TR04,6.88,0.123,59.12
15000133,2023-02-04,2023-02-04,CL0338,CI006,CI004,SV03,ST03,TR01,1.41,0.077,22.01
15000134,2023-02-04,2023-02-05,CL0266,CI008,CI002,SV02,ST04,TR04,2.82,0.102,23.39
15000135,2023-02-04,2023-02-07,CL0275,CI011,CI002,SV01,ST04,TR02,1.63,0.301,72.39
15000136,2023-02-04,2023-02-04,CL0029,CI012,CI005,SV03,ST04,TR01,3.77,0.138,47.81
15000137,2023-02-04,2023-02-06,CL0022,CI005,CI010,SV01,ST04,TR04,6.3,0.288,76.83
15000138,2023-02-04,2023-02-06,CL0129,CI001,CI009,SV01,ST01,TR02,4.72,0.067,27.04
15000139,2023-02-04,2023-02-08,CL0016,CI013,CI004,SV01,ST04,TR01,2.38,0.164,43.72
15000140,2023-02-04,2023-02-05,CL0070,CI001,CI010,SV02,ST01,TR04,3.55,0.07,32.08
15000141,2023-02-04,2023-02-06,CL0135,CI001,CI010,SV02,ST01,TR03,4.39,0.047,28.71
15000142,2023-02-04,2023-02-05,CL0036,CI010,CI005,SV02,ST02,TR03,5.02,0.098,38.04
15000143,2023-02-04,2023-02-05,CL0310,CI012,CI013,SV02,ST04,TR01,5.33,0.445,99.86
15000144,2023-02-04,2023-02-05,CL0121,CI008,CI002,SV02,ST04,TR02,6.5,0.136,29.67
15000145,2023-02-04,2023-02-05,CL0260,CI013,CI010,SV01,ST04,TR04,3.24,0.119,36.31
15000146,2023-02-04,2023-02-09,CL0353,CI003,CI007,SV04,ST04,TR04,4.68,0.182,42.05
15000147,2023-02-04,2023-02-06,CL0301,CI004,CI011,SV01,ST02,TR01,3.55,0.372,81.07
15000148,2023-02-05,2023-02-07,CL0134,CI001,CI005,SV02,ST01,TR02,2.27,0.058,15.68
15000149,2023-02-05,2023-02-07,CL0291,CI013,CI012,SV02,ST01,TR01,2.23,0.245,65.36
15000150,2023-02-05,2023-02-08,CL0200,CI006,CI005,SV04,ST04,TR02,1.76,0.191,40.5
15000151,2023-02-05,2023-02-07,CL0276,CI009,CI003,SV01,ST04,TR03,4.58,0.149,44.0
15000152,2023-02-05,2023-02-06,CL0269,CI006,CI001,SV02,ST01,TR02,7.78,0.074,23.38
15000153,2023-02-05,2023-02-06,CL0338,CI004,CI010,SV01,ST03,TR03,4.51,0.156,45.25
15000154,2023-02-05,2023-02-07,CL0150,CI007,CI009,SV01,ST04,TR02,3.68,0.207,53.84
15000155,2023-02-05,2023-02-07,CL0229,CI013,CI006,SV01,ST04,TR02,3.08,0.118,35.89
15000156,2023-02-05,2023-02-06,CL0153,CI009,CI003,SV02,ST04,TR02,4.44,0.126,42.59
15000157,2023-02-05,2023-02-08,CL0304,CI009,CI010,SV01,ST04,TR04,3.0,0.389,54.88
15000158,2023-02-05,2023-02-06,CL0307,CI005,CI004,SV02,ST04,TR02,3.68,0.119,25.09
15000159,2023-02-05,2023-02-06,CL0325,CI013,CI005,SV02,ST04,TR03,2.27,0.161,46.18
15000160,2023-02-05,2023-02-06,CL0085,CI005,CI007,SV02,ST01,TR04,4.22,0.158,28.75
15000161,2023-02-05,2023-02-07,CL0289,CI003,CI007,SV02,ST04,TR03,0.9,0.156,28.38
15000162,2023-02-05,2023-02-07,CL0075,CI011,CI007,SV01,ST03,TR04,1.26,0.177,44.6
15000163,2023-02-05,2023-02-05,CL0172,CI006,CI011,SV03,ST04,TR02,15.74,0.085,57.39
15000164,2023-02-06,2023-02-07,CL0184,CI012,CI009,SV01,ST04,TR02,3.59,0.09,31.25
15000165,2023-02-06,2023-02-06,CL0230,CI013,CI003,SV03,ST04,TR03,2.49,0.159,49.89
15000166,2023-02-06,2023-02-06,CL0135,CI011,CI013,SV03,ST04,TR03,15.54,0.082,56.52
15000167,2023-02-06,2023-02-11,CL0310,CI003,CI006,SV04,ST04,TR04,6.36,0.107,34.56
15000168,2023-02-06,2023-02-08,CL0249,CI007,CI008,SV02,ST02,TR03,1.18,0.209,33.64
15000169,2023-02-06,2023-02-09,CL0285,CI001,CI010,SV01,ST04,TR01,1.5,0.141,36.13
15000170,2023-02-06,2023-02-10,CL0173,CI011,CI003,SV01,ST04,TR03,1.59,0.159,41.62
15000171,2023-02-06,2023-02-06,CL0315,CI004,CI003,SV03,ST04,TR02,1.03,0.193,35.59
15000172,2023-02-06,2023-02-07,CL0127,CI007,CI008,SV02,ST04,TR01,3.99,0.074,18.97
15000173,2023-02-06,2023-02-07,CL0057,CI013,CI010,SV02,ST04,TR02,3.31,0.12,37.82
15000174,2023-02-06,2023-02-08,CL0173,CI001,CI011,SV01,ST04,TR01,1.77,0.445,96.79
15000175,2023-02-06,2023-02-13,CL0351,CI001,CI011,SV04,ST04,TR03,4.36,0.277,85.06
15000176,2023-02-06,2023-02-07,CL0073,CI012,CI005,SV02,ST04,TR03,5.23,0.241,62.51
15000177,2023-02-06,2023-02-06,CL0124,CI013,CI005,SV03,ST04,TR04,1.49,0.115,42.63
15000178,2023-02-06,2023-02-07,CL0006,CI009,CI011,SV02,ST04,TR02,5.0,0.077,33.98
15000179,2023-02-07,2023-02-10,CL0339,CI002,CI010,SV01,ST04,TR01,1.81,0.231,52.97
15000180,2023-02-07,2023-02-09,CL0362,CI012,CI001,SV02,ST03,TR04,6.88,0.088,36.86
15000181,2023-02-07,2023-02-09,CL0028,CI001,CI010,SV01,ST04,TR01,2.78,0.147,41.03
15000182,2023-02-07,2023-02-10,CL0237,CI004,CI003,SV01,ST04,TR04,9.89,0.169,34.68
15000183,2023-02-07,2023-02-08,CL0302,CI009,CI003,SV03,ST05,TR04,1.59,0.096,37.17
15000184,2023-02-07,2023-02-10,CL0296,CI001,CI005,SV04,ST03,TR03,12.72,0.046,31.32
15000185,2023-02-07,2023-02-12,CL0185,CI002,CI006,SV04,ST05,TR02,2.31,0.201,40.09
15000186,2023-02-07,2023-02-09,CL0028,CI011,CI007,SV01,ST04,TR02,2.39,0.135,36.25
15000187,2023-02-07,2023-02-07,CL0233,CI011,CI010,SV03,ST04,TR04,2.06,0.057,32.31
15000188,2023-02-07,2023-02-10,CL0350,CI009,CI011,SV01,ST04,TR04,2.0,0.093,29.54
15000189,2023-02-07,2023-02-08,CL0229,CI013,CI012,SV02,ST06,TR03,3.24,0.124,38.45
15000190,2023-02-07,2023-02-09,CL0219,CI003,CI011,SV02,ST04,TR01,2.2,0.108,35.9
15000191,2023-02-07,2023-02-07,CL0018,CI004,CI003,SV03,ST01,TR04,6.23,0.125,32.11
15000192,2023-02-07,2023-02-09,CL0139,CI002,CI004,SV01,ST04,TR02,5.81,0.078,19.08
15000193,2023-02-07,2023-02-11,CL0197,CI009,CI004,SV01,ST04,TR04,2.7,0.098,31.5
15000194,2023-02-07,2023-02-08,CL0186,CI007,CI004,SV02,ST04,TR03,3.27,0.6,86.57
15000195,2023-02-07,2023-02-12,CL0141,CI009,CI001,SV04,ST04,TR01,3.68,0.034,35.56
15000196,2023-02-07,2023-02-10,CL0302,CI010,CI008,SV01,ST03,TR04,15.25,0.038,38.06
15000197,2023-02-07,2023-02-12,CL0365,CI010,CI010,SV04,ST02,TR04,3.22,0.05,24.9
15000198,2023-02-07,2023-02-09,CL0325,CI005,CI012,SV01,ST04,TR02,1.99,0.123,35.28
15000199,2023-02-07,2023-02-11,CL0120,CI003,CI001,SV04,ST04,TR01,6.28,0.091,32.57
15000200,2023-02-07,2023-02-09,CL0217,CI002,CI006,SV02,ST04,TR04,4.54,0.069,18.87
15000201,2023-02-07,2023-02-09,CL0351,CI001,CI005,SV01,ST01,TR01,3.87,0.145,27.7
15000202,2023-02-07,2023-02-09,CL0310,CI008,CI007,SV02,ST04,TR01,1.1,0.065,17.1
15000203,2023-02-07,2023-02-09,CL0078,CI002,CI006,SV02,ST04,TR01,5.45,0.118,27.89
15000204,2023-02-07,2023-02-08,CL0117,CI003,CI007,SV02,ST04,TR03,7.92,0.113,29.6
15000205,2023-02-07,2023-02-10,CL0359,CI004,CI010,SV01,ST04,TR01,2.7,0.087,30.86
15000206,2023-02-07,2023-02-10,CL0357,CI002,CI001,SV04,ST02,TR04,2.68,0.234,48.82
15000207,2023-02-07,2023-02-08,CL0346,CI008,CI002,SV02,ST04,TR04,1.52,0.098,21.66
15000208,2023-02-07,2023-02-14,CL0023,CI008,CI010,SV04,ST03,TR03,2.64,0.344,95.45
15000209,2023-02-07,2023-02-08,CL0340,CI006,CI007,SV02,ST04,TR01,1.96,0.094,21.57
15000210,2023-02-07,2023-02-07,CL0148,CI013,CI003,SV03,ST04,TR03,1.57,0.175,51.55
15000211,2023-02-07,2023-02-09,CL0098,CI001,CI006,SV02,ST03,TR01,2.74,0.077,20.17
15000212,2023-02-07,2023-02-11,CL0133,CI004,CI007,SV01,ST04,TR03,8.48,0.188,35.69
15000213,2023-02-07,2023-02-09,CL0021,CI006,CI002,SV01,ST04,TR02,3.11,0.12,23.83
15000214,2023-02-07,2023-02-09,CL0304,CI003,CI006,SV02,ST04,TR03,6.07,0.669,97.91
15000215,2023-02-07,2023-02-08,CL0269,CI001,CI004,SV03,ST04,TR02,2.95,0.44,66.95
15000216,2023-02-08,2023-02-10,CL0261,CI010,CI004,SV02,ST02,TR01,7.95,0.062,35.35
15000217,2023-02-08,2023-02-10,CL0033,CI008,CI005,SV02,ST02,TR02,4.07,0.141,28.08
15000218,2023-02-08,2023-02-09,CL0258,CI011,CI009,SV01,ST04,TR01,5.61,0.096,35.31
15000219,2023-02-08,2023-02-11,CL0184,CI010,CI012,SV01,ST01,TR01,1.58,0.478,97.71
15000220,2023-02-08,2023-02-09,CL0130,CI005,CI001,SV03,ST04,TR04,2.07,0.081,23.08
15000221,2023-02-08,2023-02-09,CL0087,CI009,CI008,SV02,ST03,TR01,1.37,0.14,42.9
15000222,2023-02-08,2023-02-09,CL0037,CI004,CI011,SV02,ST03,TR04,3.72,0.209,57.48
15000223,2023-02-08,2023-02-09,CL0074,CI003,CI004,SV02,ST04,TR01,4.4,0.068,18.64
15000224,2023-02-08,2023-02-09,CL0024,CI010,CI009,SV02,ST04,TR01,2.18,0.125,23.24
15000225,2023-02-08,2023-02-09,CL0053,CI010,CI004,SV02,ST04,TR02,4.87,0.116,43.35
15000226,2023-02-08,2023-02-10,CL0276,CI013,CI012,SV02,ST04,TR01,1.99,0.07,29.72
15000227,2023-02-08,2023-02-10,CL0282,CI007,CI001,SV02,ST04,TR02,4.09,0.244,38.44
15000228,2023-02-08,2023-02-09,CL0066,CI010,CI012,SV02,ST04,TR03,6.54,0.059,31.11
15000229,2023-02-08,2023-02-09,CL0240,CI003,CI007,SV02,ST04,TR02,1.44,0.23,34.58
15000230,2023-02-08,2023-02-09,CL0155,CI011,CI007,SV02,ST04,TR03,3.12,0.171,49.32
15000231,2023-02-08,2023-02-10,CL0174,CI006,CI010,SV02,ST04,TR01,4.18,0.378,86.07
15000232,2023-02-08,2023-02-09,CL0207,CI005,CI012,SV03,ST01,TR01,1.69,0.072,32.92
15000233,2023-02-08,2023-02-08,CL0132,CI004,CI013,SV03,ST04,TR04,0.47,0.172,49.5
15000234,2023-02-08,2023-02-10,CL0162,CI004,CI010,SV01,ST04,TR02,3.18,0.088,30.28
15000235,2023-02-08,2023-02-12,CL0249,CI009,CI006,SV04,ST02,TR04,3.79,0.127,55.44
15000236,2023-02-08,2023-02-09,CL0060,CI003,CI012,SV02,ST04,TR02,5.31,0.272,75.46
15000237,2023-02-08,2023-02-09,CL0285,CI008,CI013,SV02,ST04,TR01,0.68,0.131,38.13
15000238,2023-02-08,2023-02-09,CL0060,CI008,CI012,SV03,ST04,TR04,4.4,0.143,52.19
15000239,2023-02-08,2023-02-10,CL0041,CI013,CI002,SV02,ST04,TR04,4.04,0.11,36.99
15000240,2023-02-08,2023-02-09,CL0362,CI010,CI011,SV02,ST04,TR01,5.32,0.102,39.24
15000241,2023-02-08,2023-02-09,CL0036,CI013,CI007,SV02,ST03,TR04,3.73,0.311,77.08
15000242,2023-02-08,2023-02-10,CL0325,CI007,CI009,SV01,ST03,TR04,2.02,0.083,27.64
15000243,2023-02-08,2023-02-13,CL0230,CI013,CI002,SV04,ST04,TR04,2.2,0.167,60.83
15000244,2023-02-08,2023-02-10,CL0076,CI005,CI007,SV02,ST04,TR01,3.53,0.09,21.48
15000245,2023-02-08,2023-02-08,CL0227,CI007,CI008,SV03,ST04,TR04,12.81,0.153,43.46
15000246,2023-02-08,2023-02-08,CL0308,CI001,CI002,SV03,ST04,TR03,3.23,0.196,37.93
15000247,2023-02-08,2023-02-10,CL0099,CI004,CI004,SV01,ST04,TR01,2.65,0.231,37.39
15000248,2023-02-08,2023-02-10,CL0315,CI005,CI012,SV02,ST04,TR04,4.4,0.21,58.66
15000249,2023-02-08,2023-02-10,CL0132,CI004,CI008,SV01,ST04,TR02,4.5,0.103,20.81
15000250,2023-02-09,2023-02-09,CL0143,CI006,CI001,SV03,ST04,TR04,4.93,0.095,27.34
15000251,2023-02-09,2023-02-14,CL0061,CI004,CI008,SV04,ST04,TR04,3.01,0.085,30.35
